candidate_id,cell,family,expression,fields,field_families,operators,windows,feature_role,diagnostic_only,static_valid,static_reject_reasons,expression_key,skeleton_key,production_key,label_or_future_field_count,lineage_allowed_fields,base_field_count,overlay_field_count,selected_for_a7al2l_replay_preflight,selector_reason
a7al2k_000b2f43c9a9bc8d,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_mean,720)),Neg(Rank(Mean(mark_close,12))))",mark_close|open_interest_mean,open_interest|price,Add|Mean|Neg|Rank,12|720,derived_interaction,False,True,,expr-d6cbd12b251b888c,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::12|720,0,2,2,0,True,selected_diversity_capped
a7al2k_0041e6ed001f2431,J1_vol_range_structure,derived_vol_range_state,"Sub(Abs(ZScore(Delta(mark_close,336))),Abs(ZScore(Delta(Sub(mark_high,trade_low),504))))",mark_close|mark_high|trade_low,price|volatility,Abs|Delta|Sub|ZScore,336|504,derived_rolling,False,True,,expr-2d18333f653bfd96,skeleton-05f47470b9ac0543,a7al2k_derived_generator::derived_vol_range_state::price|volatility::336|504,0,3,3,0,True,selected_diversity_capped
a7al2k_00870205696c9eab,J2_liquidity_lifecycle,derived_liquidity_lifecycle,"Mul(Sign(Delta(trade_volume,96)),Abs(ZScore(Mean(trade_volume,336))))",trade_volume,liquidity,Abs|Delta|Mean|Mul|Sign|ZScore,96|336,derived_rolling,False,True,,expr-c3835a771d3cf318,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity::96|336,0,1,1,0,True,selected_diversity_capped
a7al2k_01878e31bc021813,J3_basis_funding_derived,derived_basis_funding_state,"Add(Rank(Mean(mark_trade_basis_bps,720)),Neg(Rank(Mean(funding_rate,504))))",funding_rate|mark_trade_basis_bps,funding|price,Add|Mean|Neg|Rank,504|720,derived_interaction,False,True,,expr-85b8477238b481f5,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_basis_funding_state::funding|price::504|720,0,2,2,0,True,selected_diversity_capped
a7al2k_0504fd431f5d1bef,J4_upper_regime_interaction,derived_upper_regime_proxy,"Add(Rank(Mean(kline_taker_buy_quote_share,720)),Neg(Rank(Mean(funding_rate,96))))",funding_rate|kline_taker_buy_quote_share,funding|liquidity,Add|Mean|Neg|Rank,96|720,upper_regime_proxy,False,True,,expr-85ff40f21f17a06e,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_upper_regime_proxy::funding|liquidity::96|720,0,2,2,0,True,selected_diversity_capped
a7al2k_005ea931395b1d44,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_value_mean,168)),Neg(Rank(Mean(index_close,96))))",index_close|open_interest_value_mean,open_interest|price,Add|Mean|Neg|Rank,96|168,derived_interaction,False,True,,expr-13e9e1007d12ec73,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::96|168,0,2,2,0,True,selected_diversity_capped
a7al2k_02e0fd675c16f060,J1_vol_range_structure,derived_vol_range_state,"Sub(Abs(ZScore(Delta(trade_close,48))),Abs(ZScore(Delta(Sub(trade_high,index_low),168))))",index_low|trade_close|trade_high,price|volatility,Abs|Delta|Sub|ZScore,48|168,derived_rolling,False,True,,expr-674beb345d287a17,skeleton-05f47470b9ac0543,a7al2k_derived_generator::derived_vol_range_state::price|volatility::48|168,0,3,3,0,True,selected_diversity_capped
a7al2k_0112fb8a50839382,J2_liquidity_lifecycle,derived_liquidity_lifecycle,"Mul(Sign(Delta(trade_volume,24)),Abs(ZScore(Mean(trade_volume,48))))",trade_volume,liquidity,Abs|Delta|Mean|Mul|Sign|ZScore,24|48,derived_rolling,False,True,,expr-c7f260fe60db45ed,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity::24|48,0,1,1,0,True,selected_diversity_capped
a7al2k_0221940909117744,J3_basis_funding_derived,derived_basis_funding_state,"Add(Rank(Mean(premium_close_bps,8)),Neg(Rank(Mean(funding_rate,336))))",funding_rate|premium_close_bps,basis|funding,Add|Mean|Neg|Rank,8|336,derived_interaction,False,True,,expr-80e382e5654587a6,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_basis_funding_state::basis|funding::8|336,0,2,2,0,True,selected_diversity_capped
a7al2k_0b54d61e939cac19,J4_upper_regime_interaction,derived_upper_regime_proxy,"Add(Rank(Mean(taker_buy_quote_volume,504)),Neg(Rank(Mean(funding_rate,48))))",funding_rate|taker_buy_quote_volume,funding|liquidity,Add|Mean|Neg|Rank,48|504,upper_regime_proxy,False,True,,expr-0aeb5d5630c713ad,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_upper_regime_proxy::funding|liquidity::48|504,0,2,2,0,True,selected_diversity_capped
a7al2k_0229cfd8f3eab064,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_value_mean,48)),Neg(Rank(Mean(trade_close,336))))",open_interest_value_mean|trade_close,open_interest|price,Add|Mean|Neg|Rank,48|336,derived_interaction,False,True,,expr-f35c08e848a5a62a,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::48|336,0,2,2,0,True,selected_diversity_capped
a7al2k_0468947143e6f5ea,J1_vol_range_structure,derived_vol_range_state,"Sub(Abs(ZScore(Delta(mark_close,8))),Abs(ZScore(Delta(Sub(trade_high,mark_low),24))))",mark_close|mark_low|trade_high,price|volatility,Abs|Delta|Sub|ZScore,8|24,derived_rolling,False,True,,expr-3633b304c8071932,skeleton-05f47470b9ac0543,a7al2k_derived_generator::derived_vol_range_state::price|volatility::8|24,0,3,3,0,True,selected_diversity_capped
a7al2k_03ae1d0730934813,J2_liquidity_lifecycle,derived_liquidity_lifecycle,"Mul(Sign(Delta(trade_count,12)),Abs(ZScore(Mean(trade_count,48))))",trade_count,liquidity,Abs|Delta|Mean|Mul|Sign|ZScore,12|48,derived_rolling,False,True,,expr-32c50be4e3978670,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity::12|48,0,1,1,0,True,selected_diversity_capped
a7al2k_0376e6fb4b01c15e,J3_basis_funding_derived,derived_basis_funding_state,"Add(Rank(Mean(mark_index_basis_bps,4)),Neg(Rank(Mean(funding_rate,720))))",funding_rate|mark_index_basis_bps,basis|funding,Add|Mean|Neg|Rank,4|720,derived_interaction,False,True,,expr-8c1210e2b3a08eb6,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_basis_funding_state::basis|funding::4|720,0,2,2,0,True,selected_diversity_capped
a7al2k_010b928604355c8b,J4_upper_regime_interaction,derived_upper_regime_proxy,"Mul(Sign(Delta(mark_index_basis_bps,504)),Abs(ZScore(Mean(funding_rate,336))))",funding_rate|mark_index_basis_bps,basis|funding,Abs|Delta|Mean|Mul|Sign|ZScore,336|504,upper_regime_proxy,False,True,,expr-56b257b9020304a7,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_upper_regime_proxy::basis|funding::336|504,0,2,2,0,True,selected_diversity_capped
a7al2k_00ee9f9173e811d7,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_value_mean,4)),Abs(ZScore(Delta(mark_close,168))))",mark_close|open_interest_value_mean,open_interest|price,Abs|Delta|Mul|Sign|ZScore,4|168,derived_interaction,False,True,,expr-b6313becb55e2ed8,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|168,0,2,2,0,True,selected_diversity_capped
a7al2k_06ab627029577475,J1_vol_range_structure,derived_vol_range_state,"Sub(Abs(ZScore(Delta(mark_close,24))),Abs(ZScore(Delta(Sub(index_high,index_low),96))))",index_high|index_low|mark_close,price|volatility,Abs|Delta|Sub|ZScore,24|96,derived_rolling,False,True,,expr-7b53ce00c5a0ec4f,skeleton-05f47470b9ac0543,a7al2k_derived_generator::derived_vol_range_state::price|volatility::24|96,0,3,3,0,True,selected_diversity_capped
a7al2k_05d6c180aad8e803,J2_liquidity_lifecycle,derived_liquidity_lifecycle,"Mul(Sign(Delta(kline_taker_buy_quote_share,336)),Abs(ZScore(Mean(kline_taker_buy_quote_share,504))))",kline_taker_buy_quote_share,liquidity,Abs|Delta|Mean|Mul|Sign|ZScore,336|504,derived_rolling,False,True,,expr-704595be434ddf16,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity::336|504,0,1,1,0,True,selected_diversity_capped
a7al2k_020e72ea4dda0dbf,J3_basis_funding_derived,derived_basis_funding_state,"Mul(Rank(Mean(mark_index_basis_bps,336)),Rank(Mean(funding_rate,12)))",funding_rate|mark_index_basis_bps,basis|funding,Mean|Mul|Rank,12|336,derived_interaction,False,True,,expr-6720fa74fd15a0ef,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_basis_funding_state::basis|funding::12|336,0,2,2,0,True,selected_diversity_capped
a7al2k_0204ebfe1394580c,J4_upper_regime_interaction,derived_upper_regime_proxy,"Mul(Sign(Delta(premium_close,720)),Abs(ZScore(Mean(funding_rate,48))))",funding_rate|premium_close,basis|funding,Abs|Delta|Mean|Mul|Sign|ZScore,48|720,upper_regime_proxy,False,True,,expr-058bd3f9ef43d8ff,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_upper_regime_proxy::basis|funding::48|720,0,2,2,0,True,selected_diversity_capped
a7al2k_0293e0ba2eb2cd5d,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_value_last,24)),Abs(ZScore(Delta(mark_close,48))))",mark_close|open_interest_value_last,open_interest|price,Abs|Delta|Mul|Sign|ZScore,24|48,derived_interaction,False,True,,expr-fd8eb1e38470343f,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::24|48,0,2,2,1,True,selected_diversity_capped
a7al2k_0af411481a5ff916,J1_vol_range_structure,derived_vol_range_state,"Sub(Abs(ZScore(Delta(mark_close,504))),Abs(ZScore(Delta(Sub(mark_high,trade_low),96))))",mark_close|mark_high|trade_low,price|volatility,Abs|Delta|Sub|ZScore,96|504,derived_rolling,False,True,,expr-8303f1359f4394cb,skeleton-05f47470b9ac0543,a7al2k_derived_generator::derived_vol_range_state::price|volatility::96|504,0,3,3,0,True,selected_diversity_capped
a7al2k_060620a27cb890a8,J2_liquidity_lifecycle,derived_liquidity_lifecycle,"Mul(Sign(Delta(trade_volume,12)),Abs(ZScore(Mean(trade_volume,336))))",trade_volume,liquidity,Abs|Delta|Mean|Mul|Sign|ZScore,12|336,derived_rolling,False,True,,expr-6abe74f16eb1d498,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity::12|336,0,1,1,0,True,selected_diversity_capped
a7al2k_0582e4bf9eee07c3,J3_basis_funding_derived,derived_basis_funding_state,"Mul(Rank(Mean(premium_close_bps,504)),Rank(Mean(funding_rate,48)))",funding_rate|premium_close_bps,basis|funding,Mean|Mul|Rank,48|504,derived_interaction,False,True,,expr-aef45279fdb1a9a0,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_basis_funding_state::basis|funding::48|504,0,2,2,0,True,selected_diversity_capped
a7al2k_08d85f94f610ca1c,J4_upper_regime_interaction,derived_upper_regime_proxy,"Mul(Sign(Delta(premium_close_bps,24)),Abs(ZScore(Mean(funding_rate,168))))",funding_rate|premium_close_bps,basis|funding,Abs|Delta|Mean|Mul|Sign|ZScore,24|168,upper_regime_proxy,False,True,,expr-017a8f3057098701,skeleton-118c1f2487c7c606,a7al2k_derived_generator::derived_upper_regime_proxy::basis|funding::24|168,0,2,2,0,True,selected_diversity_capped
a7al2k_036407741848d4cb,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_mean,72)),Abs(ZScore(Delta(index_close,8))))",index_close|open_interest_mean,open_interest|price,Abs|Delta|Mul|Sign|ZScore,8|72,derived_interaction,False,True,,expr-e2ffd48588a5e12d,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::8|72,0,2,2,0,True,selected_diversity_capped
a7al2k_0da40100e049ebb0,J1_vol_range_structure,derived_vol_range_state,"Sub(Abs(ZScore(Delta(trade_close,12))),Abs(ZScore(Delta(Sub(mark_high,index_low),24))))",index_low|mark_high|trade_close,price|volatility,Abs|Delta|Sub|ZScore,12|24,derived_rolling,False,True,,expr-63a39e975b0c44a9,skeleton-05f47470b9ac0543,a7al2k_derived_generator::derived_vol_range_state::price|volatility::12|24,0,3,3,0,True,selected_diversity_capped
a7al2k_0203ae25fddb9c4c,J2_liquidity_lifecycle,derived_liquidity_lifecycle,"Add(ZScore(Delta(trade_quote_volume,168)),Neg(ZScore(Mean(trade_quote_volume,720))))",trade_quote_volume,liquidity,Add|Delta|Mean|Neg|ZScore,168|720,derived_rolling,False,True,,expr-701424226de3336a,skeleton-35edb41b49f7651a,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity::168|720,0,1,1,0,True,selected_diversity_capped
a7al2k_071c8b8bfa242a30,J3_basis_funding_derived,derived_basis_funding_state,"Mul(Rank(Mean(mark_index_basis_bps,504)),Rank(Mean(funding_rate,24)))",funding_rate|mark_index_basis_bps,basis|funding,Mean|Mul|Rank,24|504,derived_interaction,False,True,,expr-bf17ee6cb1483d79,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_basis_funding_state::basis|funding::24|504,0,2,2,0,True,selected_diversity_capped
a7al2k_0096829c83c908a8,J4_upper_regime_interaction,derived_upper_regime_proxy,"Mul(Rank(Mean(trade_volume,168)),Rank(Mean(open_interest_value_mean,504)))",open_interest_value_mean|trade_volume,liquidity|open_interest,Mean|Mul|Rank,168|504,upper_regime_proxy,False,True,,expr-2e95c848ecce2e50,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_upper_regime_proxy::liquidity|open_interest::168|504,0,2,2,0,True,selected_diversity_capped
a7al2k_03ce8aaac75e26e9,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_last,24)),Abs(ZScore(Delta(trade_close,96))))",open_interest_last|trade_close,open_interest|price,Abs|Delta|Mul|Sign|ZScore,24|96,derived_interaction,False,True,,expr-fed71b12e70355c8,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::24|96,0,2,2,1,True,selected_diversity_capped
a7al2k_0e03c17e1bf7169e,J1_vol_range_structure,derived_vol_range_state,"Sub(Abs(ZScore(Delta(trade_close,4))),Abs(ZScore(Delta(Sub(trade_high,mark_low),4))))",mark_low|trade_close|trade_high,price|volatility,Abs|Delta|Sub|ZScore,4,derived_rolling,False,True,,expr-e09694b1f39fd4b3,skeleton-05f47470b9ac0543,a7al2k_derived_generator::derived_vol_range_state::price|volatility::4,0,3,3,0,True,selected_diversity_capped
a7al2k_03b9932969f62f8e,J2_liquidity_lifecycle,derived_liquidity_lifecycle,"Add(ZScore(Delta(trade_count,24)),Neg(ZScore(Mean(trade_count,48))))",trade_count,liquidity,Add|Delta|Mean|Neg|ZScore,24|48,derived_rolling,False,True,,expr-759a03231b3ee65b,skeleton-35edb41b49f7651a,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity::24|48,0,1,1,0,True,selected_diversity_capped
a7al2k_096415a86f56d3f8,J3_basis_funding_derived,derived_basis_funding_state,"Mul(Rank(Mean(mark_index_basis_bps,168)),Rank(Mean(funding_rate,72)))",funding_rate|mark_index_basis_bps,basis|funding,Mean|Mul|Rank,72|168,derived_interaction,False,True,,expr-4d9169a45c265ada,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_basis_funding_state::basis|funding::72|168,0,2,2,0,True,selected_diversity_capped
a7al2k_01bdc8d049fffe52,J4_upper_regime_interaction,derived_upper_regime_proxy,"Mul(Rank(Mean(trade_volume,48)),Rank(Mean(open_interest_value_last,48)))",open_interest_value_last|trade_volume,liquidity|open_interest,Mean|Mul|Rank,48,upper_regime_proxy,False,True,,expr-1bb4697fed31f734,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_upper_regime_proxy::liquidity|open_interest::48,0,2,2,1,True,selected_diversity_capped
