candidate_id,expression,fields,field_families,pattern_id,oi_field,price_field,oi_window,price_window,windows,skeleton_key,production_key,parent_seed_id,source,deterministic_order_key,selected_for_fast_replay
a7al2q_d6f7ebc0dbbdda7a,"Sub(Abs(ZScore(Mean(open_interest_value_last,48))),Abs(ZScore(Mean(index_close,12))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,48,12,48|12,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::48|12,a7al2k_046e806368e99c76,seed_exact,13d8427a6de9f020,True
a7al2q_6671d1fac5e57efe,"Sub(Abs(ZScore(Mean(open_interest_value_last,168))),Abs(ZScore(Mean(index_close,336))))",index_close|open_interest_value_last,open_interest|price,abs_level_gap,open_interest_value_last,index_close,168,336,168|336,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|index_close::168|336,a7al2k_0a247ec03472983b,seed_exact,2fb22eef8827a158,True
a7al2q_58ec268c498480a1,"Mul(Abs(ZScore(Delta(open_interest_last,12))),Abs(ZScore(Mean(trade_close,504))))",open_interest_last|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_last,trade_close,12,504,12|504,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_last|trade_close::12|504,,local_mutation,0003b930b7fe5a22,True
a7al2q_d7a6680d151b7968,"Mul(Abs(ZScore(Delta(open_interest_value_mean,8))),Abs(ZScore(Mean(trade_close,72))))",open_interest_value_mean|trade_close,open_interest|price,oi_abs_delta_x_price_abs,open_interest_value_mean,trade_close,8,72,8|72,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|trade_close::8|72,,local_mutation,000715ebbb4990ef,True
a7al2q_e2dbfa4d8f056d82,"Sub(Rank(Delta(open_interest_mean,72)),Rank(Delta(index_close,12)))",index_close|open_interest_mean,open_interest|price,rank_delta_spread,open_interest_mean,index_close,72,12,72|12,skeleton-c0fe3a0285af5513,a7al2q_local_oi_price::rank_delta_spread::open_interest_mean|index_close::72|12,,local_mutation,000f2878303aee65,False
a7al2q_437471479795b3f2,"Sub(Rank(Mean(open_interest_value_mean,24)),Rank(Mean(trade_close,168)))",open_interest_value_mean|trade_close,open_interest|price,rank_level_spread,open_interest_value_mean,trade_close,24,168,24|168,skeleton-f6b9baf3951b3e06,a7al2q_local_oi_price::rank_level_spread::open_interest_value_mean|trade_close::24|168,,local_mutation,00100208028fd254,False
a7al2q_69233c377095f5a4,"Sub(ZScore(Delta(open_interest_value_mean,96)),ZScore(Delta(trade_close,720)))",open_interest_value_mean|trade_close,open_interest|price,delta_spread,open_interest_value_mean,trade_close,96,720,96|720,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_value_mean|trade_close::96|720,,local_mutation,0013cc8c134c325f,True
a7al2q_c799371403a9770f,"Sub(Rank(Mean(open_interest_mean,72)),Rank(Mean(trade_close,24)))",open_interest_mean|trade_close,open_interest|price,rank_level_spread,open_interest_mean,trade_close,72,24,72|24,skeleton-f6b9baf3951b3e06,a7al2q_local_oi_price::rank_level_spread::open_interest_mean|trade_close::72|24,,local_mutation,00145b688533e19f,False
a7al2q_5b4e7d3dc1984b26,"Add(ZScore(Delta(open_interest_value_last,168)),Neg(ZScore(Mean(trade_close,4))))",open_interest_value_last|trade_close,open_interest|price,oi_delta_plus_neg_price_level,open_interest_value_last,trade_close,168,4,168|4,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_last|trade_close::168|4,,local_mutation,0019f7f1a4255473,True
a7al2q_1209abed3d7842b8,"Sub(Rank(Mean(open_interest_mean,336)),Rank(Mean(trade_close,168)))",open_interest_mean|trade_close,open_interest|price,rank_level_spread,open_interest_mean,trade_close,336,168,336|168,skeleton-f6b9baf3951b3e06,a7al2q_local_oi_price::rank_level_spread::open_interest_mean|trade_close::336|168,,local_mutation,001a97f385d97d6c,False
