candidate_id,cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_fields,source_field_families,expression,expr_hash,horizon,object_type,signal_mode,static_score,may_used_for_generation,may_used_for_static_score,selection_status
a7o_l1_C0192_2036,C0192,2036,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_mark_index_ratio,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(cs_z_mark_index_ratio,12)),Rank(TSMean(cs_z_mark_index_ratio,3)))))),16)),24)",685cccf14a4bb075,12,generated_candidate,original,0.21980000000000002,False,False,selected_for_strict_replay
a7o_l1_C0192_0181,C0192,181,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_mark_index_ratio;mark_index_ratio,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(cs_z_mark_index_ratio,20)),ZScore(TSMean(mark_index_ratio,10)))))),10)),12)",0eca9b19d2fa4973,12,generated_candidate,original,0.2078,False,False,selected_for_strict_replay
a7o_l1_C0192_0180,C0192,180,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_mark_index_ratio;cs_z_premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(cs_z_mark_index_ratio,3)),Rank(TSMean(cs_z_mark_index_ratio,4)))))),4)),8)",890b5f76717d7524,6,generated_candidate,original,0.2068,False,False,selected_for_strict_replay
a7o_l1_C0192_0373,C0192,373,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_mark_index_ratio;mark_minus_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(cs_z_mark_index_ratio,16)),ZScore(TSMean(mark_minus_index,60)))))),24)),30)",1f446f739693ebf2,48,generated_candidate,original,0.2058,False,False,selected_for_strict_replay
a7o_l1_C0192_0372,C0192,372,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_mark_index_ratio;mark_index_ratio,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(cs_z_mark_index_ratio,16)),Rank(TSMean(cs_z_mark_index_ratio,24)))))),10)),16)",d565eece50dfe1f4,24,generated_candidate,original,0.2048,False,False,selected_for_strict_replay
a7o_l1_C0192_0565,C0192,565,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_premium_index;mark_index_ratio,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(mark_index_ratio,3)),ZScore(TSMean(cs_z_premium_index,10)))))),6)),8)",2afbee6bcce5f340,6,generated_candidate,original,0.2038,False,False,selected_for_strict_replay
a7o_l1_C0192_0564,C0192,564,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_mark_index_ratio;cs_z_premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(cs_z_premium_index,60)),Rank(TSMean(cs_z_premium_index,36)))))),20)),3)",a1499ef1c4c5f88d,72,generated_candidate,original,0.2028,False,False,selected_for_strict_replay
a7o_l1_C0192_0757,C0192,757,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,mark_minus_index;premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(TSMean(mark_minus_index,48)),ZScore(TSMean(premium_index,10)))))),16)),20)",a92e0d5f23fbfb2b,24,generated_candidate,original,0.2018,False,False,selected_for_strict_replay
a7o_l1_C0192_0756,C0192,756,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,mark_minus_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Rank(TSMean(mark_minus_index,3)),Rank(TSMean(mark_minus_index,10)))))),4)),8)",36db76866d73a717,12,generated_candidate,original,0.2008,False,False,selected_for_strict_replay
a7o_l1_C0192_0096,C0192,96,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(Mul(Neg(Rank(TSMean(premium_index,4))),Rank(TSMean(premium_index,16))))),20)),3)",596affd4933ae357,12,generated_candidate,original,0.1998,False,False,selected_for_strict_replay
a7o_l1_C0192_0193,C0192,193,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,mark_index_ratio;premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(TSMean(mark_index_ratio,16)),36)))),24)),30)",e9b614b6c6d0d83e,48,generated_candidate,original,0.1998,False,False,selected_for_strict_replay
a7o_l1_C0192_0290,C0192,290,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_premium_index;premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(Sub(Rank(TSMean(cs_z_premium_index,3)),Abs(ZScore(TSMean(premium_index,10)))))),48)),72)",98158b49412130f4,6,generated_candidate,original,0.1998,False,False,selected_for_strict_replay
a7o_l1_C0192_0387,C0192,387,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(Clip(Rank(TSMean(premium_index,48)),-4.0,4.0))),60)),96)",4c0f9affae62ec2b,24,generated_candidate,original,0.1998,False,False,selected_for_strict_replay
a7o_l1_C0192_0484,C0192,484,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,mark_index_ratio;premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(SafeDiv(Sub(Rank(TSMean(mark_index_ratio,60)),Rank(TSMean(mark_index_ratio,36))),Clip(Abs(TSRank(premium_index,72)),0.05,2.25)))),12)),20)",9acfe52d1ca8f2d7,72,generated_candidate,original,0.1998,False,False,selected_for_strict_replay
a7o_l1_C0192_0581,C0192,581,H07_taker_flow_lag_stable,P5_basis_premium,Rank,spread_6_vs_24,cross_symbol_rank,FundingCore,low_turnover,F2_low_liquidity,cs_z_premium_index;premium_index,basis,"Decay(Rank(TSMean(ResidualizeVsFundingCore(cross_symbol_rank(Add(Rank(TSMean(cs_z_premium_index,24)),ZScore(TSMean(premium_index,12))))),10)),12)",f883728faeb1a2ce,12,generated_candidate,original,0.1998,False,False,selected_for_strict_replay
