field_name,status,source,source_path,materialized_field,join_key,caveat
R2_market_breadth_state,resolved,a7al0g_upper_regime_panel_v1,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_upper_regime_state_v1_20260527.parquet,R2_market_breadth_state,timestamp,upper regime was built from v1 panel; requires timestamp alignment audit before numeric replay
R3_liquidity_cycle_state,resolved,a7al0g_upper_regime_panel_v1,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_upper_regime_state_v1_20260527.parquet,R3_liquidity_cycle_state,timestamp,upper regime was built from v1 panel; requires timestamp alignment audit before numeric replay
R4_leverage_crowding_state,resolved,a7al0g_upper_regime_panel_v1,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_upper_regime_state_v1_20260527.parquet,R4_leverage_crowding_state,timestamp,upper regime was built from v1 panel; requires timestamp alignment audit before numeric replay
R5_basis_premium_dislocation_state,resolved,a7al0g_upper_regime_panel_v1,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_upper_regime_state_v1_20260527.parquet,R5_basis_premium_dislocation_state,timestamp,upper regime was built from v1 panel; requires timestamp alignment audit before numeric replay
funding_rate_abs_168h,resolved,a7ak_lv1_latent_state_panel_v1,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_latent_state_features_v1_20260527.parquet,funding_rate_abs_168h,"symbol,timestamp",latent panel was built from v1 panel; requires symbol/timestamp alignment audit before numeric replay
global_long_short_account_ratio_last,resolved,base_replay_panel_v2,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_20260527,global_long_short_account_ratio_last,"symbol,timestamp",
index_close,resolved,base_replay_panel_v2,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_20260527,index_close,"symbol,timestamp",
is_major,resolved,a7ak_lv1_latent_state_panel_v1,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_latent_state_features_v1_20260527.parquet,is_major,"symbol,timestamp",latent panel was built from v1 panel; requires symbol/timestamp alignment audit before numeric replay
kline_taker_buy_quote_share,resolved,base_replay_panel_v2,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_20260527,kline_taker_buy_quote_share,"symbol,timestamp",
liquidity_tier,resolved,a7ak_static_contract_meme_taxonomy,G:\AlphaFactory_CryptoData\gold\metadata\binance_universe498_contract_meme_taxonomy_v1_20260527.csv,liquidity_tier,symbol,
mark_index_basis_bps,resolved,base_replay_panel_v2,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_20260527,mark_index_basis_bps,"symbol,timestamp",
open_interest_last,resolved,base_replay_panel_v2,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_20260527,open_interest_last,"symbol,timestamp",
top_long_short_account_ratio_last,resolved,base_replay_panel_v2,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_20260527,top_long_short_account_ratio_last,"symbol,timestamp",
