candidate_id,base_candidate_id,target_horizon_hours,decision,reject_reasons,pre_may_pass,post_may_eligible
a7o_l1_C0004_0564__A7R_H4,a7o_l1_C0004_0564,4,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0564__A7R_H8,a7o_l1_C0004_0564,8,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0564__A7R_H12,a7o_l1_C0004_0564,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0004_0564__A7R_H24,a7o_l1_C0004_0564,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0004_0564__A7R_H48,a7o_l1_C0004_0564,48,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0004_0564__A7R_H72,a7o_l1_C0004_0564,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0564__A7R_H96,a7o_l1_C0004_0564,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0180__A7R_H4,a7o_l1_C0004_0180,4,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0004_0180__A7R_H8,a7o_l1_C0004_0180,8,A7R_HORIZON_HOLD,cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0004_0180__A7R_H12,a7o_l1_C0004_0180,12,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0180__A7R_H24,a7o_l1_C0004_0180,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0180__A7R_H48,a7o_l1_C0004_0180,48,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0180__A7R_H72,a7o_l1_C0004_0180,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_0180__A7R_H96,a7o_l1_C0004_0180,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_2036__A7R_H4,a7o_l1_C0004_2036,4,A7R_HORIZON_HOLD,cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0004_2036__A7R_H8,a7o_l1_C0004_2036,8,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_2036__A7R_H12,a7o_l1_C0004_2036,12,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_2036__A7R_H24,a7o_l1_C0004_2036,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
