blueprint_id,parent_blueprint_id,expression,semantic_pair,motif,approval_tier,approval_score,parent_score,mutation_kind,mutation_detail,authorizes_search,skeleton_key,source_stage,target_shard,left_field,right_field,left_semantic,right_semantic,left_transform,right_transform
a7raw0_ece6b4e1fa99361a,,"SafeDiv(Abs(ZScore(Mean(top_long_short_position_ratio_last,8))),Abs(Decay(top_long_short_position_ratio_last,240)))",positioning|positioning,raw_safe_div_abs,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,12.0,0.0,raw_large_space,abs_zmean_x_decay,False,positioning|positioning|raw_safe_div_abs|7afe9720b742,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,top_long_short_position_ratio_last,top_long_short_position_ratio_last,positioning,positioning,abs_zmean,decay
a7raw0_ef5b604457697c9e,,"Mul(CSRank(TSRank(taker_buy_sell_volume_ratio_last,16)),CSRank(ZScore(Mean(open_interest_mean,6))))",open_interest|taker_flow,raw_oi_flow_interaction,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,54.0,0.0,raw_large_space,tsrank_x_zmean,False,open_interest|taker_flow|raw_oi_flow_interaction|9536f33d4be2,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,taker_buy_sell_volume_ratio_last,open_interest_mean,taker_flow,open_interest,tsrank,zmean
a7raw0_aa1fd9b6c1b3c83d,,"Mul(CSRank(Decay(listing_age_days,24)),Sign(CSRank(liquidity_cycle_state)))",age|regime,raw_signed_mul,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,25.0,0.0,raw_large_space,state_decay_x_level_csrank,False,age|regime|raw_signed_mul|c13dfd544e29,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,listing_age_days,liquidity_cycle_state,age,regime,state_decay,level_csrank
a7raw0_e6712b8797efda6c,,"SafeDiv(ZScore(Mean(open_interest_mean,72)),Abs(Abs(ZScore(Mean(open_interest_last,36)))))",open_interest|open_interest,raw_safe_div_abs,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,32.0,0.0,raw_large_space,zmean_x_abs_zmean,False,open_interest|open_interest|raw_safe_div_abs|972f5db932dc,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,open_interest_mean,open_interest_last,open_interest,open_interest,zmean,abs_zmean
a7raw0_7701b4b8b54ff996,,"Mul(ZScore(Mean(global_long_short_account_ratio_mean,48)),Decay(top_long_short_position_ratio_last,8))",positioning|positioning,raw_mul,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,4.0,0.0,raw_large_space,zmean_x_decay,False,positioning|positioning|raw_mul|c822e5a0350d,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,global_long_short_account_ratio_mean,top_long_short_position_ratio_last,positioning,positioning,zmean,decay
a7raw0_feb87ce0e38007d1,,"Sub(CSRank(Decay(market_breadth_state,96)),CSRank(ZScore(Mean(taker_buy_sell_volume_ratio_mean,336))))",regime|taker_flow,raw_spread_rank,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,43.0,0.0,raw_large_space,state_decay_x_zmean,False,regime|taker_flow|raw_spread_rank|5aa105e7b509,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,market_breadth_state,taker_buy_sell_volume_ratio_mean,regime,taker_flow,state_decay,zmean
a7raw0_08d755170ac34f87,,"Sub(CSRank(Sign(TSRank(stress_proxy_state,3))),CSRank(Decay(sqrt_listing_age_days,24)))",age|regime,raw_spread_rank,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,33.0,0.0,raw_large_space,state_tsrank_sign_x_state_decay,False,age|regime|raw_spread_rank|2d3569d5be17,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,stress_proxy_state,sqrt_listing_age_days,regime,age,state_tsrank_sign,state_decay
a7raw0_a565f0d277e395ba,,"SafeDiv(Sub(CSRank(Abs(ZScore(Mean(premium_close_bps,24)))),CSRank(CSRank(Delta(open_interest_value_change_24h,120)))),Abs(CSRank(Delta(open_interest_value_change_24h,120))))",basis|open_interest,raw_basis_oi_scaled_spread,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,37.0,0.0,raw_large_space,abs_zmean_x_cs_delta,False,basis|open_interest|raw_basis_oi_scaled_spread|6e8b72be6876,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,premium_close_bps,open_interest_value_change_24h,basis,open_interest,abs_zmean,cs_delta
a7raw0_5a2b138bcabbb8b6,,"SafeDiv(CSRank(Delta(mark_trade_basis_bps,48)),Abs(TSRank(taker_buy_sell_volume_ratio_mean,336)))",basis|taker_flow,raw_safe_div_abs,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,37.0,0.0,raw_large_space,cs_delta_x_tsrank,False,basis|taker_flow|raw_safe_div_abs|9227120a459b,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,mark_trade_basis_bps,taker_buy_sell_volume_ratio_mean,basis,taker_flow,cs_delta,tsrank
a7raw0_dd7874e45988b243,,"SafeDiv(TSRank(basis_abs_168h,336),Abs(ZScore(Mean(premium_abs_168h,96))))",basis|basis,raw_safe_div_abs,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,17.0,0.0,raw_large_space,tsrank_x_zmean,False,basis|basis|raw_safe_div_abs|9fe71de3248a,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,basis_abs_168h,premium_abs_168h,basis,basis,tsrank,zmean
a7raw0_8e7b36e13fff9cd3,,"Sub(CSRank(Decay(liquidity_cycle_state,16)),CSRank(CSRank(Delta(account_position_divergence,6))))",positioning|regime,raw_spread_rank,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,23.0,0.0,raw_large_space,state_decay_x_cs_delta,False,positioning|regime|raw_spread_rank|6eb5390e508b,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,liquidity_cycle_state,account_position_divergence,regime,positioning,state_decay,cs_delta
a7raw0_3af9dc262e645514,,"SafeDiv(TSRank(top_long_short_account_ratio_mean,8),Abs(CSRank(age_x_volatility)))",age_vol|positioning,raw_safe_div_abs,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,22.0,0.0,raw_large_space,tsrank_x_level_csrank,False,age_vol|positioning|raw_safe_div_abs|a6172752c151,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,top_long_short_account_ratio_mean,age_x_volatility,positioning,age_vol,tsrank,level_csrank
a7raw0_27e8d74eb68b3e5f,,"SafeDiv(TSRank(taker_buy_sell_volume_ratio_mean,6),Abs(TSRank(top_long_short_account_ratio_mean,36)))",positioning|taker_flow,raw_safe_div_abs,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,32.0,0.0,raw_large_space,tsrank_x_tsrank,False,positioning|taker_flow|raw_safe_div_abs|450af80b01d2,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,taker_buy_sell_volume_ratio_mean,top_long_short_account_ratio_mean,taker_flow,positioning,tsrank,tsrank
a7raw0_9b60c58721370f2e,,"Mul(CSRank(Abs(ZScore(Mean(global_long_short_account_ratio_last,504)))),Sign(CSRank(Delta(account_position_divergence,6))))",positioning|positioning,raw_signed_mul,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,0.0,0.0,raw_large_space,abs_zmean_x_cs_delta,False,positioning|positioning|raw_signed_mul|2eeb26293591,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,global_long_short_account_ratio_last,account_position_divergence,positioning,positioning,abs_zmean,cs_delta
a7raw0_f21e7968a074ddb8,,"Sub(CSRank(Decay(top_long_short_position_ratio_last,120)),CSRank(CSRank(rolling_coverage_168h)))",coverage|positioning,raw_spread_rank,A7RAW0_LIGHT_GOVERNED_RAW_SPACE,18.0,0.0,raw_large_space,decay_x_level_csrank,False,coverage|positioning|raw_spread_rank|435a6f145bdb,A7RAW0_APPROVED_FIELD_UNIVERSE,a7raw0_s000,top_long_short_position_ratio_last,rolling_coverage_168h,positioning,coverage,decay,level_csrank
