field_name,raw_source,symbol,interval,timestamp,timestamp_semantics,observable_time,source_file,checksum_status,is_historical_backfill,is_forward_only,timezone,unit,independent_source,derived_from
open_interest,Binance Vision futures/um/daily/metrics CSV,core12 USD-M futures symbol,"5m raw metrics, 1h gold uses last 5m observation in hour",raw create_time column from Binance metrics file,vendor column name is create_time; bucket start/end/publication is not asserted from file alone,conservative: raw timestamp + 5 minutes; 1h feature_available_time uses hour timestamp + 1 hour,raw/binance_vision/metrics_daily/futures_um/metrics/<symbol>/<symbol>-metrics-YYYY-MM-DD.zip,must be ok against official .CHECKSUM for source-trace-ready rows,True,False,UTC,contracts/base asset units as reported by Binance sum_open_interest,True,
open_interest_value,Binance Vision futures/um/daily/metrics CSV,core12 USD-M futures symbol,"5m raw metrics, 1h gold uses last 5m observation in hour",raw create_time column from Binance metrics file,vendor column name is create_time; bucket start/end/publication is not asserted from file alone,conservative: raw timestamp + 5 minutes; 1h feature_available_time uses hour timestamp + 1 hour,raw/binance_vision/metrics_daily/futures_um/metrics/<symbol>/<symbol>-metrics-YYYY-MM-DD.zip,must be ok against official .CHECKSUM for source-trace-ready rows,True,False,UTC,"quote asset notional value as reported by Binance sum_open_interest_value, normally USDT",True,
global_long_short_account_ratio,Binance Vision futures/um/daily/metrics CSV,core12 USD-M futures symbol,"5m raw metrics, 1h gold uses last 5m observation in hour",raw create_time column from Binance metrics file,vendor column name is create_time; bucket start/end/publication is not asserted from file alone,conservative: raw timestamp + 5 minutes; 1h feature_available_time uses hour timestamp + 1 hour,raw/binance_vision/metrics_daily/futures_um/metrics/<symbol>/<symbol>-metrics-YYYY-MM-DD.zip,must be ok against official .CHECKSUM for source-trace-ready rows,True,False,UTC,"ratio, unitless",True,
top_long_short_account_ratio,Binance Vision futures/um/daily/metrics CSV,core12 USD-M futures symbol,"5m raw metrics, 1h gold uses last 5m observation in hour",raw create_time column from Binance metrics file,vendor column name is create_time; bucket start/end/publication is not asserted from file alone,conservative: raw timestamp + 5 minutes; 1h feature_available_time uses hour timestamp + 1 hour,raw/binance_vision/metrics_daily/futures_um/metrics/<symbol>/<symbol>-metrics-YYYY-MM-DD.zip,must be ok against official .CHECKSUM for source-trace-ready rows,True,False,UTC,"ratio, unitless",True,
top_long_short_position_ratio,Binance Vision futures/um/daily/metrics CSV,core12 USD-M futures symbol,"5m raw metrics, 1h gold uses last 5m observation in hour",raw create_time column from Binance metrics file,vendor column name is create_time; bucket start/end/publication is not asserted from file alone,conservative: raw timestamp + 5 minutes; 1h feature_available_time uses hour timestamp + 1 hour,raw/binance_vision/metrics_daily/futures_um/metrics/<symbol>/<symbol>-metrics-YYYY-MM-DD.zip,must be ok against official .CHECKSUM for source-trace-ready rows,True,False,UTC,"ratio, unitless",True,
taker_buy_sell_volume_ratio,Binance Vision futures/um/daily/metrics CSV,core12 USD-M futures symbol,"5m raw metrics, 1h gold uses last 5m observation in hour",raw create_time column from Binance metrics file,vendor column name is create_time; bucket start/end/publication is not asserted from file alone,conservative: raw timestamp + 5 minutes; 1h feature_available_time uses hour timestamp + 1 hour,raw/binance_vision/metrics_daily/futures_um/metrics/<symbol>/<symbol>-metrics-YYYY-MM-DD.zip,must be ok against official .CHECKSUM for source-trace-ready rows,True,False,UTC,"ratio, unitless",True,
open_interest_change_1h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,open_interest
open_interest_change_4h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,open_interest
open_interest_change_24h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,open_interest
open_interest_zscore_168h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,"rolling z-score, unitless",False,open_interest
open_interest_value_change_1h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,open_interest_value
open_interest_value_change_4h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,open_interest_value
open_interest_value_change_24h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,open_interest_value
open_interest_value_zscore_168h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,"rolling z-score, unitless",False,open_interest_value
global_long_short_account_ratio_change_1h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,global_long_short_account_ratio
global_long_short_account_ratio_change_4h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,global_long_short_account_ratio
global_long_short_account_ratio_change_24h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,global_long_short_account_ratio
global_long_short_account_ratio_zscore_168h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,"rolling z-score, unitless",False,global_long_short_account_ratio
top_long_short_account_ratio_change_1h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,top_long_short_account_ratio
top_long_short_account_ratio_change_4h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,top_long_short_account_ratio
top_long_short_account_ratio_change_24h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,top_long_short_account_ratio
top_long_short_account_ratio_zscore_168h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,"rolling z-score, unitless",False,top_long_short_account_ratio
top_long_short_position_ratio_change_1h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,top_long_short_position_ratio
top_long_short_position_ratio_change_4h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,top_long_short_position_ratio
top_long_short_position_ratio_change_24h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,top_long_short_position_ratio
top_long_short_position_ratio_zscore_168h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,"rolling z-score, unitless",False,top_long_short_position_ratio
taker_buy_sell_volume_ratio_change_1h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,taker_buy_sell_volume_ratio
taker_buy_sell_volume_ratio_change_4h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,taker_buy_sell_volume_ratio
taker_buy_sell_volume_ratio_change_24h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,pct change ratio,False,taker_buy_sell_volume_ratio
taker_buy_sell_volume_ratio_zscore_168h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after source field is available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics checksum audit,True,False,UTC,"rolling z-score, unitless",False,taker_buy_sell_volume_ratio
open_interest_x_price_move_1h,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after all parent fields are available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics plus optional panel parent field audits,True,False,UTC,"interaction term, parent-unit product",False,"['open_interest_change_1h', 'ret_1']"
open_interest_x_agg_signed_quote_notional,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after all parent fields are available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics plus optional panel parent field audits,True,False,UTC,"interaction term, parent-unit product",False,"['open_interest_change_1h', 'agg_signed_quote_notional']"
open_interest_x_signed_aggressor_volume,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after all parent fields are available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics plus optional panel parent field audits,True,False,UTC,"interaction term, parent-unit product",False,"['open_interest_change_1h', 'signed_aggressor_volume']"
open_interest_x_volume_imbalance,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after all parent fields are available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics plus optional panel parent field audits,True,False,UTC,"interaction term, parent-unit product",False,"['open_interest_change_1h', 'volume_imbalance']"
open_interest_x_taker_imbalance,derived feature layer,core12 USD-M futures symbol,1h,hourly bar timestamp,computed after all parent fields are available,feature_available_time = timestamp + 1 hour,G:\AlphaFactory_CryptoData\gold\features\binance_metrics_1h_features_v1.parquet,inherits from raw metrics plus optional panel parent field audits,True,False,UTC,"interaction term, parent-unit product",False,"['open_interest_change_1h', 'taker_imbalance']"
