blueprint_id,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_route,secondary_route,primary_transform,secondary_transform,modifier_guard_required,skeleton_key,production_key,in_materialization_queue,in_company_numeric_wave_queue,company_shard,expression,core58_exact_core56_blueprint,core58_exact_core56_production,core58_core56_skeleton,core58_failed_semantic_pair,core58_failed_motif,core58_score,core58_queue,a7input_queue,core59_shard,eval_success,finite_share,nonzero_share,activity_ok,status,std_value,error,is_activity_ok,is_inactive,is_eval_fail
a7ff24r_49641183569fa632,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_1h,,False,skel_a311ee3fdacdeca2,prod_95d701a5f939ee83,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,1))",False,False,True,True,True,-13.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_5e3756c09dd9800d,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_1h,,False,skel_1d39996e97d5ace0,prod_36e2cc64db2b930c,True,True,shard_00,"Mean(mark_index_basis_bps,1)",False,False,True,True,True,-13.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_2ab082367c1b62e6,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,gated_sign,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,level,False,skel_51c2bb588b20fa9e,prod_07934430548c1e30,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Sign(premium_close_bps))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s02,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_8df15a328689de4d,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,gated_sign,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,zmean_4h,False,skel_af8c1327eb17d836,prod_4836c4a0e04f731a,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Sign(ZScore(Mean(premium_close_bps,4))))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_b4fdfbf0e95cd293,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,gated_sign,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,zmean_1h,False,skel_af8c1327eb17d836,prod_1b7cddd93c9a9a7f,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Sign(ZScore(Mean(premium_close_bps,1))))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_be3665cc85e43910,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,gated_sign,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,zmean_2h,False,skel_af8c1327eb17d836,prod_072ae4ae45102b6f,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Sign(ZScore(Mean(premium_close_bps,2))))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_09c2ead438b1c084,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,gated_sign,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,level,zmean_1h,False,skel_c80f62c274b367a9,prod_66ef301d31f278f8,True,True,shard_00,"Mul(mark_index_basis_bps,Sign(ZScore(Mean(premium_close_bps,1))))",False,False,True,True,True,-19.0,numeric_replay_repair,numeric_replay_repair,s04,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_12c28f14b2e253f4,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,gated_sign,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,mean_1h,level,False,skel_136259b72205469f,prod_9e434d369a2f0a3f,True,True,shard_00,"Mul(Mean(mark_index_basis_bps,1),Sign(premium_close_bps))",False,False,True,True,True,-19.0,numeric_replay_repair,numeric_replay_repair,s04,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_6c90b9509851a83f,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,gated_sign,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,level,mean_1h,False,skel_a2f58ee62d9e7ad2,prod_fe8592a45e62448b,True,True,shard_00,"Mul(mark_index_basis_bps,Sign(Mean(premium_close_bps,1)))",False,False,True,True,True,-19.0,numeric_replay_repair,numeric_replay_repair,s05,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_153150ce9f2b7614,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,mul,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,mean_2h,False,skel_eaa129218e1e1a2f,prod_8f496ba46568a716,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Mean(premium_close_bps,2))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s02,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_32f3ba668bc38d03,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,mul,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,mean_8h,False,skel_eaa129218e1e1a2f,prod_45d543eb98387aed,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Mean(premium_close_bps,8))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s02,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_45d7b4c784664282,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,mul,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,delta_8h,False,skel_eaa129218e1e1a2f,prod_dc2e2a63e525f6c8,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Delta(premium_close_bps,8))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s02,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_565844b4b03d0c4e,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,mul,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,mean_1h,False,skel_eaa129218e1e1a2f,prod_f96cb41d08153159,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Mean(premium_close_bps,1))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s02,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_5a5b2d36ce1bfa55,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,mul,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,delta_12h,False,skel_eaa129218e1e1a2f,prod_29e800a68d2ca230,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Delta(premium_close_bps,12))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_66c8dc3dfd71fb92,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,mul,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,delta_4h,False,skel_eaa129218e1e1a2f,prod_7d7d81635bcd9fc5,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Delta(premium_close_bps,4))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
a7ff24r_b49a82ab946f4f0c,L2_typed_two_field_interaction,role_mixed_allowed,P0,basis_premium_like|basis_premium_like,mul,mark_index_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,mean_12h,False,skel_eaa129218e1e1a2f,prod_d85d419410133aba,True,True,shard_00,"Mul(ZScore(Mean(mark_index_basis_bps,1)),Mean(premium_close_bps,12))",False,False,False,True,True,-4.0,numeric_replay_repair,numeric_replay_repair,s03,True,0.0,0.0,False,inactive_or_sparse,,,False,True,False
