blueprint_id,expression,a7ls_lane,lane_name,search_role,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,skeleton_key,production_key,source_stage,source_seed_id,checkpoint_group,a7v3s0_lane,left_field,right_field,left_transform,right_transform,authorizes_alpha_proof
a7v3s0_711353254a9a70d9,"Mul(TSRank(taker_buy_sell_volume_ratio_mean,336),Sign(Sign(TSRank(log1p_listing_age_days,4))))",mechanism_regime_conditioned,mechanism_regime_conditioned,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,34.0,age|taker_flow,state_conditioned_signed,taker_buy_sell_volume_ratio_mean,log1p_listing_age_days,taker_flow,age,tsrank,state_tsrank_sign,age|taker_flow|state_conditioned_signed|810441345db2,age|taker_flow|state_conditioned_signed|810441345db2,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,mechanism_regime_conditioned,taker_buy_sell_volume_ratio_mean,log1p_listing_age_days,tsrank,state_tsrank_sign,False
a7v3s0_a486fdcbd1f09a2f,"SafeDiv(ZScore(Mean(open_interest_value_change_24h,504)),Abs(Abs(ZScore(Mean(open_interest_last,48)))))",raw_broad_reserved,raw_broad_reserved,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,28.0,open_interest|open_interest,safe_div_abs,open_interest_value_change_24h,open_interest_last,open_interest,open_interest,zmean,abs_zmean,open_interest|open_interest|safe_div_abs|ead55f58213c,open_interest|open_interest|safe_div_abs|ead55f58213c,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,raw_broad_reserved,open_interest_value_change_24h,open_interest_last,zmean,abs_zmean,False
a7v3s0_8feeee0d37702df8,"Mul(Delta(funding_rate_update_age_hours,24),Sign(Delta(premium_close_bps,24)))",funding_basis_recent_robust,funding_basis_recent_robust,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,32.0,funding_dense|premium,funding_basis_delta_sign,funding_rate_update_age_hours,premium_close_bps,funding_dense,premium,funding_tsrank,abs_zmean,funding_dense|premium|funding_basis_delta_sign|8973a7ba557f,funding_dense|premium|funding_basis_delta_sign|8973a7ba557f,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,funding_basis_recent_robust,funding_rate_update_age_hours,premium_close_bps,funding_tsrank,abs_zmean,False
a7v3s0_443ffa700a083025,"SafeDiv(ZScore(Mean(open_interest_last,36)),Abs(TSRank(kline_taker_buy_quote_share,36)))",oi_flow_cross_mechanism,oi_flow_cross_mechanism,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,40.0,open_interest|taker_flow,safe_div_abs,open_interest_last,kline_taker_buy_quote_share,open_interest,taker_flow,zmean,tsrank,open_interest|taker_flow|safe_div_abs|73854234eb92,open_interest|taker_flow|safe_div_abs|73854234eb92,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,oi_flow_cross_mechanism,open_interest_last,kline_taker_buy_quote_share,zmean,tsrank,False
a7v3s0_933dc73082de72a7,"Mul(CSRank(TSRank(mark_index_basis_bps,168)),Sign(Delta(funding_rate,96)))",funding_basis_recent_robust,funding_basis_recent_robust,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,39.0,basis|funding_sparse,signed_rank_gate,mark_index_basis_bps,funding_rate,basis,funding_sparse,tsrank,funding_delta,basis|funding_sparse|signed_rank_gate|32404d489857,basis|funding_sparse|signed_rank_gate|32404d489857,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,funding_basis_recent_robust,mark_index_basis_bps,funding_rate,tsrank,funding_delta,False
a7v3s0_578bf84e13b3dd74,"Mul(Delta(funding_rate_update_age_hours,48),Decay(global_long_short_account_ratio_last,168))",raw_broad_reserved,raw_broad_reserved,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,31.0,funding_dense|positioning,smooth_mul,funding_rate_update_age_hours,global_long_short_account_ratio_last,funding_dense,positioning,funding_delta,decay,funding_dense|positioning|smooth_mul|1191e5c07b25,funding_dense|positioning|smooth_mul|1191e5c07b25,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,raw_broad_reserved,funding_rate_update_age_hours,global_long_short_account_ratio_last,funding_delta,decay,False
a7v3s0_bfa0481e39c6c6a4,"Mul(Decay(sqrt_listing_age_days,72),Sign(Abs(ZScore(Mean(premium_abs_state,16)))))",mechanism_regime_conditioned,mechanism_regime_conditioned,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,26.0,age|premium,state_conditioned_signed,sqrt_listing_age_days,premium_abs_state,age,premium,state_decay,abs_zmean,age|premium|state_conditioned_signed|8beb31c15916,age|premium|state_conditioned_signed|8beb31c15916,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,mechanism_regime_conditioned,sqrt_listing_age_days,premium_abs_state,state_decay,abs_zmean,False
a7v3s0_75ac11a89e7ae49c,"SafeDiv(TSRank(funding_rate_abs_state_168h_z,336),Abs(Abs(ZScore(Mean(funding_rate,720)))))",raw_broad_reserved,raw_broad_reserved,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,36.0,funding_dense|funding_sparse,safe_div_abs,funding_rate_abs_state_168h_z,funding_rate,funding_dense,funding_sparse,funding_tsrank,funding_abs_zmean,funding_dense|funding_sparse|safe_div_abs|4a85cf4ae977,funding_dense|funding_sparse|safe_div_abs|4a85cf4ae977,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,raw_broad_reserved,funding_rate_abs_state_168h_z,funding_rate,funding_tsrank,funding_abs_zmean,False
a7v3s0_e710ec40994db263,"SafeDiv(CSRank(age_percentile_active_universe),Abs(ZScore(Mean(top_global_account_divergence,36))))",mechanism_regime_conditioned,mechanism_regime_conditioned,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,36.0,age|positioning,safe_div_abs,age_percentile_active_universe,top_global_account_divergence,age,positioning,state_csrank,zmean,age|positioning|safe_div_abs|731f7d860e85,age|positioning|safe_div_abs|731f7d860e85,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,mechanism_regime_conditioned,age_percentile_active_universe,top_global_account_divergence,state_csrank,zmean,False
a7v3s0_e61f730875749900,"Mul(CSRank(Decay(leverage_crowding_state,336)),Sign(Sign(TSRank(basis_dislocation_state,120))))",raw_broad_reserved,raw_broad_reserved,v3_native_large_space_numeric_probe,A7V3S0,numeric_probe_only,31.0,regime|regime,signed_rank_gate,leverage_crowding_state,basis_dislocation_state,regime,regime,state_decay,state_tsrank_sign,regime|regime|signed_rank_gate|8310bcad0bd3,regime|regime|signed_rank_gate|8310bcad0bd3,A7V3S-0,v3_schema_and_mechanism_state,a7v3s0_s000,raw_broad_reserved,leverage_crowding_state,basis_dislocation_state,state_decay,state_tsrank_sign,False
