shadow_rank,consolidated_decision,decision_reasons,evidence_tier,source_count,source_ids,source_kinds,source_lag_status,source_lag_required,canonical_key,canonical_expression,canonical_skeleton,blueprint_id,semantic_pair,motif,horizon_h,expression,skeleton_key,train_sortino,validation_sortino,test_sortino,recent_sortino,min_oos_sortino,min_oos_floor_sortino,stress_floor_sortino,recent_sharpe,recent_rankic,recent_avg_turnover,recent_control_ratio,recent_shuffle_control_ratio,oos_control_dominated_count,oos_lag_stale_dominated_count,hard_reject,hard_reject_reasons,gate_pass,pareto_rank,source_file,formula,source_blueprint_id,candidate_role
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7SEARCH6_SELECTED_R1,strict_reward,HOLD_SOURCE_LAG_NOT_TESTED,True,"safediv(zscore(mean(open_interest_value_mean,8)),abs(global_long_short_account_ratio_last))|h=4","safediv(zscore(mean(open_interest_value_mean,8)),abs(global_long_short_account_ratio_last))","safediv(zscore(mean(field,w)),abs(field))",a7search6_84f74066182786e3,open_interest|positioning,batch_source_lag_retest,4,"SafeDiv(ZScore(Mean(open_interest_value_mean,8)),Abs(global_long_short_account_ratio_last))",whole_signal_source_lag,1.0147723685385015,8.755520252016632,10.517201774344448,10.515662016834575,8.755520252016632,7.981121191739393,3.696607311554336,6.462549173520099,0.0251056716286297,0.0224374276620371,0.9908393803530968,0.6854718699450867,0.0,0.0,False,,True,1,runtime/a7search6_selected_full_reward_r1_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,"SafeDiv(ZScore(Mean(open_interest_value_mean,8)),Abs(global_long_short_account_ratio_last))",a7search6_84f74066182786e3,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(csrank(delta(open_interest_value_last,96)),abs(decay(account_position_divergence,48)))|h=4","safediv(csrank(delta(open_interest_value_last,96)),abs(decay(account_position_divergence,48)))",canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,open_interest|positioning,batch_source_lag_retest,4,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",whole_signal_source_lag,3.2052543364772133,7.88304157123735,20.75194462627507,12.805688612793949,7.88304157123735,7.699711268333625,4.234566438890151,7.4140364026438785,0.027682889402785,0.046189597800926,1.04170430638429,0.3541039506433974,0.0,0.0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(zscore(mean(open_interest_value_mean,504)),abs(global_long_short_account_ratio_last))|h=4","safediv(zscore(mean(open_interest_value_mean,504)),abs(global_long_short_account_ratio_last))",canonical,a7search6_vp_a7search6_06c5d4a2d2ce5d98_canonical,open_interest|positioning,batch_source_lag_retest,4,"SafeDiv(ZScore(Mean(open_interest_value_mean,504)),Abs(global_long_short_account_ratio_last))",whole_signal_source_lag,1.236135194502097,8.010974058552176,10.610973321572391,10.701972874329558,8.010974058552176,7.550702544593065,4.145939260092989,6.588259575970021,0.0264576282225419,0.0222559799382717,0.9903769907105522,0.6590381042894469,0.0,0.0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,"SafeDiv(ZScore(Mean(open_interest_value_mean,504)),Abs(global_long_short_account_ratio_last))",a7search6_vp_a7search6_06c5d4a2d2ce5d98_canonical,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7REWARD1_OLD_ACCEPTED,strict_reward_legacy,HOLD_SOURCE_LAG_NOT_TESTED,True,"safediv(zscore(mean(open_interest_value_last,504)),abs(mean(account_position_divergence,96)))|h=4","safediv(zscore(mean(open_interest_value_last,504)),abs(mean(account_position_divergence,96)))",open_interest_like|positioning_like|safe_div_abs|7946a7d9baa2,a7ls30_32f8844234cc65fc,open_interest_like|positioning_like,batch_source_lag_retest,4,"SafeDiv(ZScore(Mean(open_interest_value_last,504)),Abs(Mean(account_position_divergence,96)))",whole_signal_source_lag,0.748960699121523,8.735881716209885,15.61990075469818,8.039814440490163,8.039814440490163,7.160915978307452,3.3254023671840964,4.586683667185654,0.0154733621419226,0.0054295669367284,1.020662458440381,0.6043078091368217,,,False,,True,1,runtime/a7reward1_portfolio_reward_model_20260610/a7reward1_accepted_for_next_search.csv,"SafeDiv(ZScore(Mean(open_interest_value_last,504)),Abs(Mean(account_position_divergence,96)))",a7ls30_32f8844234cc65fc,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7REWARD1_OLD_ACCEPTED,strict_reward_legacy,HOLD_SOURCE_LAG_NOT_TESTED,True,"safediv(zscore(mean(open_interest_value_last,240)),abs(mean(account_position_divergence,72)))|h=8","safediv(zscore(mean(open_interest_value_last,240)),abs(mean(account_position_divergence,72)))",open_interest_like|positioning_like|safe_div_abs|7946a7d9baa2,a7ls30_c94e306c3e19bd08,open_interest_like|positioning_like,batch_source_lag_retest,8,"SafeDiv(ZScore(Mean(open_interest_value_last,240)),Abs(Mean(account_position_divergence,72)))",whole_signal_source_lag,2.547988241840184,8.591166489821287,20.780366292578343,8.048541921401895,8.048541921401895,7.04953819525488,2.745436025608579,4.36183502231291,0.0210352192126558,0.006371768904321,1.011809179730249,0.580652538125856,,,False,,True,1,runtime/a7reward1_portfolio_reward_model_20260610/a7reward1_accepted_for_next_search.csv,"SafeDiv(ZScore(Mean(open_interest_value_last,240)),Abs(Mean(account_position_divergence,72)))",a7ls30_c94e306c3e19bd08,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7REWARD1_OLD_ACCEPTED,strict_reward_legacy,HOLD_SOURCE_LAG_NOT_TESTED,True,"safediv(zscore(mean(open_interest_value_last,504)),abs(mean(account_position_divergence,96)))|h=8","safediv(zscore(mean(open_interest_value_last,504)),abs(mean(account_position_divergence,96)))",open_interest_like|positioning_like|safe_div_abs|7946a7d9baa2,a7ls30_32f8844234cc65fc,open_interest_like|positioning_like,batch_source_lag_retest,8,"SafeDiv(ZScore(Mean(open_interest_value_last,504)),Abs(Mean(account_position_divergence,96)))",whole_signal_source_lag,1.6595007452975743,7.888749865330507,17.00626977919223,7.698355664713439,7.698355664713439,6.7927000450826345,2.843192549727933,4.212020495476663,0.0186082157823204,0.0054295669367284,1.0104284990021697,0.7802251486595619,,,False,,True,1,runtime/a7reward1_portfolio_reward_model_20260610/a7reward1_accepted_for_next_search.csv,"SafeDiv(ZScore(Mean(open_interest_value_last,504)),Abs(Mean(account_position_divergence,96)))",a7ls30_32f8844234cc65fc,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7REWARD1_OLD_ACCEPTED,strict_reward_legacy,HOLD_SOURCE_LAG_NOT_TESTED,True,"safediv(safediv(zscore(mean(open_interest_value_last,4)),abs(mean(account_position_divergence,96))),abs(zscore(mean(open_interest_last,168))))|h=8","safediv(safediv(zscore(mean(open_interest_value_last,4)),abs(mean(account_position_divergence,96))),abs(zscore(mean(open_interest_last,168))))",open_interest_like|positioning_like|safe_div_abs|c35df304e3ff,a7ls30_c139d322017158f7,open_interest_like|positioning_like,batch_source_lag_retest,8,"SafeDiv(SafeDiv(ZScore(Mean(open_interest_value_last,4)),Abs(Mean(account_position_divergence,96))),Abs(ZScore(Mean(open_interest_last,168))))",whole_signal_source_lag,1.3220587797779657,7.835980280939494,14.841925988578875,7.768149918057752,7.768149918057752,6.616169898012441,1.5695771442849566,4.134443279927789,0.0163648784133043,0.005397014853395,1.0107398901957578,0.5735134392544343,,,False,,True,1,runtime/a7reward1_portfolio_reward_model_20260610/a7reward1_accepted_for_next_search.csv,"SafeDiv(SafeDiv(ZScore(Mean(open_interest_value_last,4)),Abs(Mean(account_position_divergence,96))),Abs(ZScore(Mean(open_interest_last,168))))",a7ls30_c139d322017158f7,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(abs(csrank(open_interest_value_change_24h)),abs(decay(account_position_divergence,8)))|h=4","safediv(abs(csrank(open_interest_value_change_24h)),abs(decay(account_position_divergence,8)))",canonical,a7search6_vp_a7search6_5be6987af4a13e67_canonical,open_interest|positioning,batch_source_lag_retest,4,"SafeDiv(Abs(CSRank(open_interest_value_change_24h)),Abs(Decay(account_position_divergence,8)))",whole_signal_source_lag,1.938373688581649,7.467788422072568,12.173043167826863,7.858992237896532,7.467788422072568,5.723292113167148,2.853723895341438,5.048156781076272,0.023580868781082,0.0850778838734568,1.007218765909809,0.971161168465074,0.0,0.0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,"SafeDiv(Abs(CSRank(open_interest_value_change_24h)),Abs(Decay(account_position_divergence,8)))",a7search6_vp_a7search6_5be6987af4a13e67_canonical,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(csrank(delta(open_interest_value_last,96)),abs(decay(account_position_divergence,48)))|h=24","safediv(csrank(delta(open_interest_value_last,96)),abs(decay(account_position_divergence,48)))",canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,open_interest|positioning,batch_source_lag_retest,24,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",whole_signal_source_lag,2.801252690439641,9.739676131095967,30.31272551108393,17.627852714561087,9.739676131095967,5.71299367203425,3.219211361560081,6.906367050897668,0.0613966722103869,0.046189597800926,0.9928830705095776,0.0809607874853919,0.0,0.0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,source_lag_retest
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(tsrank(open_interest_value_last,504),abs(mean(top_long_short_account_ratio_last,8)))|h=4","safediv(tsrank(open_interest_value_last,504),abs(mean(top_long_short_account_ratio_last,8)))",canonical,a7search6_vp_a7search6_e7ee64f0ef980aca_canonical,open_interest|positioning,batch_source_lag_retest,4,"SafeDiv(TSRank(open_interest_value_last,504),Abs(Mean(top_long_short_account_ratio_last,8)))",whole_signal_source_lag,2.2738576446171823,5.271790543779058,7.214840376121423,14.710083629564677,5.271790543779058,5.038342430873139,8.304834540703954,8.65501741148378,0.0560110814577664,0.0524980709876544,1.0158831934458268,0.3210523385792581,0.0,0.0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv,"SafeDiv(TSRank(open_interest_value_last,504),Abs(Mean(top_long_short_account_ratio_last,8)))",a7search6_vp_a7search6_e7ee64f0ef980aca_canonical,source_lag_retest
