script_path,line_count,executes_generation_marker,direct_expression_hit_count,core2_reference_hit_count,bypass_risk,gate_status,direct_expression_examples,core2_reference_examples
scripts\crypto_a7ab2_seed_constrained_micro_generation_contract.py,245,False,0,0,low,no_obvious_generation_path,,
scripts\crypto_a7ab3_seed_constrained_dry_generation.py,487,True,80,0,high,needs_core4_wiring,"98:return f""Rank({field})"", ""rank"" || 100:return f""ZScore({field})"", ""zscore"" || 102:return f""TSRank({field},{t})"", ""tsrank"" || 104:return f""Delta({field},{d})"", ""delta"" || 106:return f""Mean({field},{m})"", ""mean"" || 108:return f""Decay({field},{e})"", ""decay"" || 110:return f""Clip(ZScore({field}),-3,3)"", ""clip_zscore"" || 112:return f""Winsor(ZScore({field}),3)"", ""winsor_zscore""",
scripts\crypto_a7ag0_role_aware_generation_contract.py,209,False,0,0,low,no_obvious_generation_path,,
scripts\crypto_a7al2_small_formula_search_contract.py,206,False,0,0,low,no_obvious_generation_path,,
scripts\crypto_a7al2k_derived_generator_smoke.py,722,True,87,0,high,needs_core4_wiring,"216:f""Mul(ZScore(Delta({oi},{w1})),ZScore(Delta({price},{w2})))"", || 217:f""Sub(ZScore(Delta({oi},{w1})),Rank(Delta({price},{w2})))"", || 218:f""Mul(Rank(Mean(Delta({oi},{w1}),{w3})),Sign(Delta({price},{w2})))"", || 219:f""Add(ZScore(Delta({oi},{w1})),Neg(ZScore(Delta({price},{w2}))))"", || 220:f""Sub(ZScore(Mean({oi},{w3})),ZScore(Mean({oi},{w4})))"", || 221:f""Sub(Rank(Delta({oi},{w1})),Rank(Delta({oi},{w2})))"", || 222:f""Mul(Abs(ZScore(Delta({oi},{w1}))),Neg(ZScore(Delta({price},{w2}))))"", || 223:f""Add(Rank(Mean({oi},{w3})),Neg(Rank(Mean({price},{w2}))))"",",
scripts\crypto_a7al2p1_selector_feature_generation.py,468,False,6,0,high,needs_core4_wiring,"212:""skeleton_key"", || 213:""production_key"", || 238:expression = str(candidate[""expression""]) || 272:""expression"": expression, || 274:""skeleton_key"": candidate.get(""skeleton_key""), || 275:""production_key"": candidate.get(""production_key""),",
scripts\crypto_a7al2q_local_oi_price_formula_search.py,847,False,37,0,high,needs_core4_wiring,"124:oi_mean = f""Mean({oi},{w1})"" || 125:px_mean = f""Mean({price},{w2})"" || 126:oi_delta = f""Delta({oi},{w1})"" || 127:px_delta = f""Delta({price},{w2})"" || 128:oi_z = f""ZScore({oi_mean})"" || 129:px_z = f""ZScore({px_mean})"" || 130:oi_dz = f""ZScore({oi_delta})"" || 131:px_dz = f""ZScore({px_delta})""",
scripts\crypto_a7al2x3_family_balanced_dry_generation.py,663,True,56,0,high,needs_core4_wiring,"240:""expression"": expression, || 247:""skeleton_key"": sk, || 248:""production_key"": prod, || 262:by_skeleton.setdefault(row[""skeleton_key""], []).append(row) || 264:group.sort(key=lambda row: (row[""production_key""], row[""candidate_id""])) || 274:current_count = sum(1 for row in rows if row[""skeleton_key""] == sk) || 337:specs.append({""family_id"": family, ""expression"": expression}) || 341:add(""F0_OI_delta_price_interaction"", f""Mul(Sign(Delta({oi},{w1})),Rank(Delta({price},{w2})))"", [oi, price])",
scripts\crypto_a7al2z1_broader_non_oi_dry_generation.py,486,False,49,0,high,needs_core4_wiring,"169:""expression"": expr, || 176:""skeleton_key"": f""skeleton-{digest(skeleton(expr))}"", || 177:""production_key"": f""a7al2z1::{family}::{'|'.join(fields)}::{'|'.join(ops)}::{'|'.join(map(str, windows))}"", || 211:f""Sub(Rank(Mean({b},{w})),Rank(Mean(funding_rate,{w})))"", || 212:f""Sub(Rank(Delta({b},{w})),Rank(Delta(funding_rate,{w})))"", || 213:f""Mul(Winsor(ZScore(Mean({b},{w}))),Winsor(ZScore(Mean(funding_rate,{w}))))"", || 214:f""Mul(Winsor(ZScore(Delta({b},{w}))),Winsor(ZScore(Delta(funding_rate,{w}))))"", || 215:f""Rank(Abs(ZScore(Mean({b},{w}))))"",",
scripts\crypto_a7al2z7_response_guided_dry_generation.py,439,False,36,0,high,needs_core4_wiring,"164:""expression"": expr, || 171:""skeleton_key"": f""skeleton-{digest(skeleton(expr))}"", || 172:""production_key"": f""a7al2z7::{family}::{'|'.join(fields)}::{'|'.join(ops)}::{'|'.join(map(str, windows))}"", || 216:diff = f""Sub(Rank(Mean(Delta({b},{w}),{s})),Rank(Mean(Delta({f},{w}),{s})))"" || 219:f""GroupNeutralize({diff},{g})"", || 220:f""LatentNeutralRank({diff},{g})"", || 221:f""GroupNeutralize(Mul(Winsor(ZScore(Mean(Delta({b},{w}),{s}))),Neg(Winsor(ZScore(Mean(Delta({f},{w}),{s}))))),{g})"", || 226:range_expr = f""SafeDiv(Mean(Sub({hi},{lo}),{w}),Mean({close},{w}))""",
scripts\crypto_a7ar1_formula_engine_adapter_smoke.py,242,False,1,0,high,needs_core4_wiring,"63:""expression"": candidate.expression,",
scripts\crypto_a7ff24r_dry_generation_plan.py,516,False,33,0,high,needs_core4_wiring,"58:(f""delta_{w}h"", f""Delta({field},{w})""), || 59:(f""mean_{w}h"", f""Mean({field},{w})""), || 60:(f""zmean_{w}h"", f""ZScore(Mean({field},{w}))""), || 65:out.append((f""abs_zmean_{w}h"", f""Abs(ZScore(Mean({field},{w})))"")) || 66:out.append((f""decay_{w}h"", f""Decay({field},{w})"")) || 70:(""csrank"", f""CSRank({field})""), || 71:(""sign_delta_24h"", f""Sign(Delta({field},24))""), || 72:(""clip_zscore"", f""Clip(ZScore({field}),-3,3)""),",
scripts\crypto_a7ff33_family_diversified_dry_generation.py,367,True,28,0,high,needs_core4_wiring,"97:out.append((f""delta_{window}h"", f""Delta({field},{window})"")) || 98:out.append((f""mean_{window}h"", f""Mean({field},{window})"")) || 99:out.append((f""zmean_{window}h"", f""ZScore(Mean({field},{window}))"")) || 102:out.append((f""abs_zmean_{window}h"", f""Abs(ZScore(Mean({field},{window})))"")) || 103:out.append((f""decay_{window}h"", f""Decay({field},{window})"")) || 106:(""csrank"", f""CSRank({field})""), || 107:(""rank"", f""Rank({field})""), || 108:(""sign_delta_24h"", f""Sign(Delta({field},24))""),",
scripts\crypto_a7ff51e_non_l5_heavy_generation.py,367,True,23,0,high,needs_core4_wiring,"84:return f""Delta({field},{transform.split('_')[1][:-1]})"" || 86:return f""Mean({field},{transform.split('_')[1][:-1]})"" || 88:return f""ZScore(Mean({field},{transform.split('_')[1][:-1]}))"" || 90:return f""Abs(ZScore(Mean({field},{transform.split('_')[2][:-1]})))"" || 92:return f""CSRank({field})"" || 94:return f""Mul({field},Sign({field}))"" || 100:return f""Sub({a},{b})"" || 102:return f""Sub(CSRank({a}),CSRank({b}))""",
scripts\crypto_a7ff55r2_atlas_field_family_generation_repair.py,246,False,0,0,low,no_obvious_generation_path,,
scripts\crypto_a7ff55r3_repaired_atlas_dry_generation.py,329,True,26,0,high,needs_core4_wiring,"54:out.append((f""delta_{w}h"", f""Delta({field},{w})"")) || 55:out.append((f""mean_{w}h"", f""Mean({field},{w})"")) || 56:out.append((f""zmean_{w}h"", f""ZScore(Mean({field},{w}))"")) || 59:out.append((f""abs_zmean_{w}h"", f""Abs(ZScore(Mean({field},{w})))"")) || 60:out.append((f""decay_{w}h"", f""Decay({field},{w})"")) || 61:out.append((f""tsrank_{w}h"", f""TSRank({field},{w})"")) || 67:return f""Mul({left},{right})"" || 69:return f""Sub({left},{right})""",
scripts\crypto_a7ffr_derived_generation_redesign.py,654,False,0,0,low,no_obvious_generation_path,,
