production_family,a7v6_label,rows
cross_symbol_self_reproduction_core3,A7V6_HOLD_CONTROL_CONTAMINATED,2
cross_symbol_self_reproduction_core3,A7V6_HOLD_COST20_FRAGILE,3
cross_symbol_self_reproduction_core3,A7V6_NOT_A7V5_POSITIVE,6
cross_symbol_self_reproduction_core3,A7V6_PRE_MAY_DOMINANCE_CLUE_MAY_FAIL,1
interaction_self_reproduction,A7V6_HOLD_COST20_FRAGILE,3
interaction_self_reproduction,A7V6_HOLD_DOES_NOT_DOMINATE_CONTROLS,1
interaction_self_reproduction,A7V6_NOT_A7V5_POSITIVE,8
rolling_self_reproduction,A7V6_HOLD_CONTROL_CONTAMINATED,3
rolling_self_reproduction,A7V6_HOLD_COST20_FRAGILE,1
rolling_self_reproduction,A7V6_NOT_A7V5_POSITIVE,4
rolling_self_reproduction,A7V6_PRE_MAY_DOMINANCE_CLUE_MAY_FAIL,4
