stage,repo_ref,commit_sha,run_id,data_release,evidence_role,superseded,authoritative_now,entrypoint,actual_loaded_fields,runtime_derived_fields,field_authority,generator_grammar,primitive_implementation,adaptive_feedback_objective,strict_selection_objective,portfolio_mapping,turnover_formula,cost_formula,target_horizon,development_split,final_conclusion,evidence_paths
A7V1/A7V2 registry and no-search smoke,historical-commit:40d37cb710d22b60a8453f8a448f1216a8138c35,40d37cb710d22b60a8453f8a448f1216a8138c35,NOT_RECOVERED,"G:/AlphaFactory_CryptoData/gold/panels/crypto_core12_1h_with_aggtrades_features_v1.parquet; content hash NOT_RECOVERED",historical contract and real-panel no-search smoke,true,false,python scripts/crypto_a7v1_feature_registry_and_smoke.py,"symbol;timestamp;agg_features_available;agg_flow_imbalance_notional;agg_notional;agg_large_notional_share_100k_plus;agg_price_range_bps;agg_signed_flow_z_24h;mark_index_ratio;premium_index","TSMean_4h(flow);Delta_4h(notional);TSStd_24h(large-share);within-symbol ZScore(price-range);Mul(signed-flow-z mark-index);core3 cross-sectional rank;RelativeToBTC","real panel is the numeric authority for the seven smoke inputs; A7V feature contract is registry authority; exact raw aggregation formula for the other registry rows is NOT_RECOVERED","94 enabled base rows; 5211 metadata specs across rolling_self_reproduction cross_symbol_self_reproduction_core3 interaction_self_reproduction",pandas implementations for seven smoke features only; remaining specs were NOT_MATERIALIZED,NONE_NO_ADAPTIVE_FEEDBACK,"mask/scope/timing and blocked-negative-control gates only; no return selection",NOT_MAPPED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_NO_TARGET_OR_RETURN_EVALUATION,"no economic development split; real panel used for a no-search smoke only","PASS_A7V1_FEATURE_REGISTRY_AND_A7V2_NO_SEARCH_SMOKE; authorized only the A7V3 dry run","git:40d37cb710d22b60a8453f8a448f1216a8138c35:scripts/crypto_a7v1_feature_registry_and_smoke.py;git:40d37cb710d22b60a8453f8a448f1216a8138c35:runtime/a7v1_feature_registry_smoke/a7v1_authorization_matrix.json;runtime/crypto_feature_runtime_inventory_20260714/manifest.json"
A7V3 agg-aware candidate dry run,historical-commit:c50c123df31d0717ce5f7017d0d5e0f312f53c37,c50c123df31d0717ce5f7017d0d5e0f312f53c37,NOT_RECOVERED,"A7V1 registry/spec assets plus panel schema only; numeric panel NOT_MATERIALIZED",historical expression-generation dry run,true,false,python scripts/crypto_a7v3_agg_aware_candidate_dry_run.py,"Parquet schema names only via pyarrow.read_schema; A7V1 derived-spec CSV metadata","360 candidate expression records; horizon metadata 12/24/48/72h; no numeric signal array","A7V1 registry/spec CSV and panel schema are authoritative; no runtime numeric values loaded","rolling/cross-symbol/interaction expression constructors with quotas 180/80/100 and dry-run legality gates",string constructors only; candidate status dry_run_not_replayed; primitives NOT_MATERIALIZED,NONE_NO_ADAPTIVE_FEEDBACK,"expression legality and scope gates only; no strict return evaluation",NOT_MAPPED,NOT_APPLICABLE,NOT_APPLICABLE,"horizon field is metadata derived from source window; no label loaded","no split and no performance read","PASS_A7V3_AGG_AWARE_CANDIDATE_DRY_RUN; not replayed and not searched","git:c50c123df31d0717ce5f7017d0d5e0f312f53c37:scripts/crypto_a7v3_agg_aware_candidate_dry_run.py;git:c50c123df31d0717ce5f7017d0d5e0f312f53c37:runtime/a7v3_agg_aware_candidate_dry_run/a7v3_authorization_matrix.json"
A7EFF2 git release,evalreset-baseline-20260711-ac9fd24^{},ac9fd24ede281bbcbf438f7c2f4f9b1e563b8b76,NOT_RECOVERED,"A7EFF2_GIT_RELEASE_20260711; 96 assets x 11545 hourly timestamps; external numeric-cache manifest SHA256=342805F26D1C92AEE1A42FC3FD18015375993829A7D5CAC3011EADCBE3BF1741",historical release and reward evidence,true,false,"scripts/crypto_a7source5_a7search7_source_lag_reward_flow.py; scripts/crypto_a7reward1_portfolio_reward_model.py","account_position_divergence;global_long_short_account_ratio_last;mark_trade_basis_bps;open_interest_value_last;open_interest_value_mean;top_global_account_divergence;top_long_short_account_ratio_last;top_long_short_position_ratio_last;trade_close;trade_quote_volume","formula signal; horizon labels; cross-sectional ranks; orientation-frozen weights; identity representatives; SafeDiv diagnostics","a7eff2_active_field_registry plus ontology-v3 and field-contract backfill; six active fields absent from older A7INPUT0 registry; numeric cache was external and hash-referenced","FormulaGenV2 DSL with semantic domains canonical identity and SafeDiv; complete run grammar NOT_RECOVERED as one frozen manifest","alphafactory_crypto/engines/formula_gen_v2_adapter.py; semantic_domains.py; signal_identity.py; A7AB4 evaluator and reward model","representative-only A7SOURCE6 reward feedback; final incremental memory credit held at HOLD_A7INPUT0_COVERAGE_GAP; exact adaptive learner state NOT_RECOVERED","historical multi-objective gates/Pareto over train and sealed evaluation splits; source-lag/control dominance and identity dedup","rank_pct(signal*train_frozen_orientation); center cross-section; normalize L1 gross=1; clip |w| at 0.03; renormalize","one_way_turnover_t = sum_i(abs(w_i,t-w_i,t-1))/2","cost_t = one_way_turnover_t * cost_bps/10000; cost_bps=5","trade_close forward labels at 1/4/8/24h via horizon_label","historical run used 2024 train plus validation/test/recent and May-2026 stress assets; this audit performed no sealed read","PASS_A7EFF2_GIT_RELEASE_BUNDLE_READY; ten fields are verified runtime-loaded for that release but it is not current economic authority","git:ac9fd24ede281bbcbf438f7c2f4f9b1e563b8b76:runtime/a7eff2_git_release_20260711/a7eff2_release_manifest.json;runtime/crypto_feature_runtime_inventory_20260714/current_epoch_runtime_fields.csv;git:ac9fd24ede281bbcbf438f7c2f4f9b1e563b8b76:scripts/crypto_a7reward1_portfolio_reward_model.py"
B1S CANARY,historical-commit:39d12c89a15802311cf9e1a108e9015b4315a653,39d12c89a15802311cf9e1a108e9015b4315a653,20260711_b1s_canary_001,"main+BBO frozen bundle SHA256=35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF",controlled canary with equal-budget control,true,false,python scripts/crypto_b1s_canary.py run,"main:symbol;timestamp;feature_available_time;trade_close;trade_quote_volume;trade_count;funding_rate;mark_trade_basis_bps;mark_index_basis_bps;open_interest_value_last;open_interest_value_mean;kline_taker_buy_quote_share;top_long_short_account_ratio_last;top_long_short_position_ratio_last;global_long_short_account_ratio_last | BBO:symbol;timestamp;observable_time;maturity_time;spread_bps_mean;bid_qty_mean;ask_qty_mean;quote_imbalance_mean;top_of_book_liquidity_state","funding/funding_abs/funding_change;basis/basis_abs;log1p oi/oi_change;log1p liquidity;taker imbalance;24h volatility;positioning spread;session sin/cos;asset/market/relative returns;cross confirmation;BBO renamed states","hash-frozen external parquet files plus loader code; completed-bucket observability checked","fixed lane recipes over two fields/operator/window/coefficient; static temporal event competitor adaptive and scoped BBO lanes",alphafactory_crypto/b1s_canary.py materialize and rank_weights,"proxy_score = mean/std*sqrt(n) on zero-cost frozen development proxy; 64 runtime-only adaptive queries; no policy persistence","strict coverage>=0.80; observations>=100; net_mean>0; IC_mean>0; stratified arm compared with equal-budget global top-K","cross-sectional percentile rank; center; L1 normalize; clip |w|<=0.20; renormalize to gross 1 and net 0","turnover_t = sum_i(abs(w_i,t-w_i,t-1))","cost_t = turnover_t*5/10000","trade_close[t+2]/trade_close[t+1]-1 for bucket t observable at t+1h","main core12 2024; isolated BBO core11 2024-01 through 2024-02; development/discovery only","B1S_CANARY_PARTIALLY_COMPLETED; formal search frozen","git:39d12c89a15802311cf9e1a108e9015b4315a653:scripts/crypto_b1s_canary.py;git:39d12c89a15802311cf9e1a108e9015b4315a653:alphafactory_crypto/b1s_canary.py;git:39d12c89a15802311cf9e1a108e9015b4315a653:runtime/b1s_canary_20260711/b1s_canary_manifest.json"
Epoch-0,historical-commit:46616450b1477d54eb45e47a42a8ed0541ce6cb7,46616450b1477d54eb45e47a42a8ed0541ce6cb7,20260711_crypto_nextgen_search_epoch0_001,"main+BBO frozen bundle SHA256=68150BEACEBB4A92AA4C2C34A93D9E56F1538E2685BF683806FDBCB004B1E875",frozen development search epoch,true,false,python scripts/crypto_nextgen_epoch0.py run,"SAME_AS_B1S: main[symbol;timestamp;feature_available_time;trade_close;trade_quote_volume;trade_count;funding_rate;mark_trade_basis_bps;mark_index_basis_bps;open_interest_value_last;open_interest_value_mean;kline_taker_buy_quote_share;top_long_short_account_ratio_last;top_long_short_position_ratio_last;global_long_short_account_ratio_last] | bbo[symbol;timestamp;observable_time;maturity_time;spread_bps_mean;bid_qty_mean;ask_qty_mean;quote_imbalance_mean;top_of_book_liquidity_state]","funding change/surprise/event age; basis; log1p oi/oi change; mark-index deviation;taker;log1p liquidity;volatility/burst;session;asset/market/relative returns;cross confirmation;positioning;BBO states","hash-frozen external parquet files and frozen design manifest","11 mechanism families x typed primitives Level/Delta/Slope/Acceleration/Surprise/Persistence/Duration/StateAge/TimeSince/Transition/FirstHit/LastHit/PathShape/EventWindow/MultiScaleRelation x secondary primitive x interaction x windows/thresholds",alphafactory_crypto/nextgen_epoch.py _primitive and materialize_program,"CEM UCT evolutionary surrogate learn zero-cost proxy_score from signal_record on proxy mask; 256 feedback queries per seed; no persistence","hard gates plus full multiobjective vector/Pareto: IC/net/worst block/stability/turnover/concentration/complexity/novelty/benchmark increment/placebos","inherited B1S rank_weights: dollar-neutral cross-sectional rank with gross 1","turnover_t = sum_i(abs(w_i,t-w_i,t-1))","cost_t = turnover_t*5/10000","trade_close[t+2]/trade_close[t+1]-1 for completed bucket t","main core12 2024; isolated BBO core11 Jan-Feb 2024; development only","completed with natural underfill and zero survivors; accepted closure recommendation REVISE_SEARCH_ENGINE_AND_REPEAT_DEVELOPMENT_EPOCH","git:46616450b1477d54eb45e47a42a8ed0541ce6cb7:scripts/crypto_nextgen_epoch0.py;git:46616450b1477d54eb45e47a42a8ed0541ce6cb7:alphafactory_crypto/nextgen_epoch.py;git:46616450b1477d54eb45e47a42a8ed0541ce6cb7:runtime/nextgen_epoch0_20260711/epoch0_closure_validation.json"
Epoch-1,epoch1-failed-pre-strict-403b351^{},403b3519773e18c38033b2eaeaf404c98320595a,20260712_crypto_nextgen_epoch1_001,"main+BBO frozen bundle SHA256=35E1FDEDCE39DEB7A74A62FF84910114D7A10426DFEC2A49DE274B30F7E77AEF",preserved failed execution evidence,true,false,python scripts/crypto_nextgen_epoch1.py run,"SAME_AS_EPOCH0: main[symbol;timestamp;feature_available_time;trade_close;trade_quote_volume;trade_count;funding_rate;mark_trade_basis_bps;mark_index_basis_bps;open_interest_value_last;open_interest_value_mean;kline_taker_buy_quote_share;top_long_short_account_ratio_last;top_long_short_position_ratio_last;global_long_short_account_ratio_last] | bbo[symbol;timestamp;observable_time;maturity_time;spread_bps_mean;bid_qty_mean;ask_qty_mean;quote_imbalance_mean;top_of_book_liquidity_state]","inherited Epoch-0 runtime fields and program signals; 32768 proposals generated in memory","Epoch-1 frozen manifest hashes the same external parquet inputs; inherited loader is code authority","Epoch-0 typed grammar plus explicit matched-control lanes and full-identity-before-admission revision",alphafactory_crypto/nextgen_epoch.py plus alphafactory_crypto/search_revision.py,"cost/benchmark-aware development_feedback limited_scalar and near-miss score for CEM UCT evolutionary surrogate; matched budgets; no persistence","hard gates first; survivor requires positive IC LCB net LCB benchmark-increment LCB and worst-block>-0.001",inherited B1S rank_weights,"turnover_t = sum_i(abs(w_i,t-w_i,t-1))","cost_t = turnover_t*5/10000","same one-hour delayed target as Epoch-0","main core12 2024 and isolated BBO Jan-Feb 2024; failed before strict evaluation","FROZEN_DEVELOPMENT_EPOCH1_FAILED; strict rows=0; no performance conclusion","git:403b3519773e18c38033b2eaeaf404c98320595a:scripts/crypto_nextgen_epoch1.py;git:403b3519773e18c38033b2eaeaf404c98320595a:runtime/nextgen_epoch1_20260712/epoch1_closure_manifest.json"
Epoch-1R,epoch1r-completed-natural-underfill-a9c119e^{},a9c119e4447755d76838373178c57ae8e05ab481,20260712_crypto_nextgen_epoch1r_001,"inherited Epoch-1 main+BBO inputs; aggregate data-release hash not repeated in Epoch-1R manifest",repaired frozen development epoch with matched controls,true,false,python scripts/crypto_nextgen_epoch1r.py run,"SAME_AS_EPOCH0: main[symbol;timestamp;feature_available_time;trade_close;trade_quote_volume;trade_count;funding_rate;mark_trade_basis_bps;mark_index_basis_bps;open_interest_value_last;open_interest_value_mean;kline_taker_buy_quote_share;top_long_short_account_ratio_last;top_long_short_position_ratio_last;global_long_short_account_ratio_last] | bbo[symbol;timestamp;observable_time;maturity_time;spread_bps_mean;bid_qty_mean;ask_qty_mean;quote_imbalance_mean;top_of_book_liquidity_state]","same runtime fields/program signals as Epoch-1; deterministic zero-capacity natural-underfill handling","Epoch-1 upstream hashes are validated unchanged; Epoch-1R aggregate data hash NOT_REPEATED","unchanged Epoch-1 typed grammar and matched-control lanes",same nextgen primitive/materialization implementation; admission bug repair only,"same cost/benchmark-aware development_feedback vector and matched adaptive/control budgets","same survivor contract as Epoch-1; full identity before strict assignment",inherited B1S rank_weights,"turnover_t = sum_i(abs(w_i,t-w_i,t-1))","cost_t = turnover_t*5/10000","same one-hour delayed target as Epoch-0","main core12 2024 and isolated BBO Jan-Feb 2024; development only","completed with natural underfill; zero survivors; all four adaptive algorithms failed survivor-gain matched controls","git:a9c119e4447755d76838373178c57ae8e05ab481:scripts/crypto_nextgen_epoch1r.py;git:a9c119e4447755d76838373178c57ae8e05ab481:runtime/nextgen_epoch1r_20260712/epoch1r_run_manifest.json;git:a9c119e4447755d76838373178c57ae8e05ab481:runtime/nextgen_epoch1r_20260712/adaptive_vs_matched_controls.csv"
Epoch-2,epoch2-partially-completed-02ac98e^{},02ac98e006c1c8272a33181b44d50e9dca376b68,20260712_crypto_epoch2_001,"inherited main+BBO loaders and frozen near-miss parent pack; aggregate data-release hash NOT_RECOVERED",blocker-directed frozen development epoch with matched random controls,true,false,python scripts/crypto_epoch2.py run,"SAME_AS_EPOCH0: main[symbol;timestamp;feature_available_time;trade_close;trade_quote_volume;trade_count;funding_rate;mark_trade_basis_bps;mark_index_basis_bps;open_interest_value_last;open_interest_value_mean;kline_taker_buy_quote_share;top_long_short_account_ratio_last;top_long_short_position_ratio_last;global_long_short_account_ratio_last] | bbo[symbol;timestamp;observable_time;maturity_time;spread_bps_mean;bid_qty_mean;ask_qty_mean;quote_imbalance_mean;top_of_book_liquidity_state]","same nextgen runtime fields plus blocker labels target-gate distance and repaired child lineage","frozen parent pack and hashed implementation/config are authority; aggregate raw data-release hash NOT_RECORDED","same typed grammar; proposal mix emphasizes evolutionary/local-MCTS/LLM repairs plus matched random and fresh controls",same nextgen primitive materialization plus blocker-directed mutation actions,"repair feedback selects net_lcb or benchmark_increment_lcb according to blocker; local UCB and repair operators compared with matched random controls","same hard survivor gates; three separately ranked admission policies; cached exact evaluation","inherited B1S rank_weights","turnover_t = sum_i(abs(w_i,t-w_i,t-1))","cost_t = turnover_t*5/10000","same one-hour delayed target as Epoch-0","main core12 2024 and isolated BBO Jan-Feb 2024; development only","partially completed; 2304 strict rows; zero survivors; no adaptive success; hybrid 60/40 contract not preserved","git:02ac98e006c1c8272a33181b44d50e9dca376b68:scripts/crypto_epoch2.py;git:02ac98e006c1c8272a33181b44d50e9dca376b68:runtime/epoch2_20260712/epoch2_run_manifest.json"
Epoch-2B,epoch2b-economic-bottleneck-5d8be3d^{},5d8be3d26a4e2dd57b733e3de4938081c69501a8,20260712_crypto_epoch2b_audit_001,"cached Epoch-0 Epoch-1R Epoch-2 strict evidence only; no raw release or return label read",report-only economic bottleneck and operator causal audit,true,false,python scripts/crypto_epoch2b_audit.py run,"cached strict-evaluation CSVs; proposal packs; parent pack; admission assignments; benchmark table; BBO source manifest; no raw features","gross_lcb summary proxy; gate funnels; parent/child blocker deltas; clustered bootstrap summaries","input SHA256 map in epoch2b_run_manifest; raw field authority NOT_APPLICABLE because no signal or label materialization","NONE_REPORT_ONLY",report transformations over cached rows only,NONE_NO_NEW_FEEDBACK,"route thresholds and clustered matched-control audit over cached strict evidence",NOT_REMAPPED,"uses cached turnover_mean; no new turnover series","gross_lcb_proxy=net_lcb+mean_cost_drag; benchmark gross proxy=net_lcb+turnover_mean*5/10000; not exact gross-series recomputation","cached one-hour-target evaluations; return_label_read=false","reads existing Epoch-0/1R/2 development evidence only","audit completed; 24/24 operator-blocker cells no causal control; later Frontier closure prevents treating PIVOT_TO_NEW_MECHANISM_OR_DATA as unique-data proof","git:5d8be3d26a4e2dd57b733e3de4938081c69501a8:scripts/crypto_epoch2b_audit.py;git:5d8be3d26a4e2dd57b733e3de4938081c69501a8:runtime/epoch2b_audit_20260712/epoch2b_run_manifest.json"
Frontier multi-paradigm Arena,crypto-frontier-provenance-closure-20260714^{},4726795f61052470d56e2d1475e4f6da9d262943,CRYPTO_FRONTIER_RESEARCH_V2_20260713,"BINANCE_UM_NATIVE_AGGTRADES_CORE12_2024M01_M10_V1; content SHA256=9A715BD4EC8461E533BFBA43B33CC67A30596E026800DF90CD604BBB02BF9A3D; fixed core10 development axis",accepted architecture plus corrected development evidence,false,true,python scripts/crypto_frontier_research_v2.py run,"hourly release:timestamp;symbol;month;quantity;notional;signed_aggressor_notional;volume_imbalance;vwap;trade_count;missing_any;observable_time;maturity plus source open/high/low/close","daily open/high/low/close/vwap/volume/notional/trade_count/signed_flow/flow_imbalance/return_1d/label_1d_delayed","content-hash-bound release manifest coverage ledger read ledger and per-file hashes; no fill; development role only","no shared formula grammar; adapter-neutral ForecastArtifact and PortfolioArtifact systems coexist",system-native Qlib and DeepDow implementations plus internal baselines,NONE_FIXED_BUDGET_NO_ADAPTIVE_SEARCH,"native evaluators remain separate; common bridge paired moving-block bootstrap and data-adequacy gate","system-native weights are bridged without forcing a common signal grammar","common turnover_t=sum_i(abs(w_i,t-w_i,t-1))","common cost_t=turnover_t*5/10000","common bridge label close[t+2]/close[t+1]-1 at daily frequency; native horizons retained separately","train 2024-02-01..04-24; valid 05-01..05-24; development_holdout 06-01..06-24; provider Jan-Jun; >=6-day purge","architecture accepted development-only; corrected Arena evidence CURRENT_DATA_UNDERPOWERED","git:4726795f61052470d56e2d1475e4f6da9d262943:alphafactory_crypto/frontier_v2/release.py;git:4726795f61052470d56e2d1475e4f6da9d262943:alphafactory_crypto/frontier_v2/arena.py;git:4726795f61052470d56e2d1475e4f6da9d262943:runtime/crypto_frontier_provenance_closure_20260714/corrected_arena_evidence_status.json"
