field_family,source_family,availability_policy,contract_status,blocking_issue,allowed_for_controlled_search,field
positioning,binance_metrics_positioning_ratio,account/top position ratio publication lag must be explicit,HOLD_SOURCE_PROOF,positioning ratio publication lag proof is missing,true,account_position_divergence
event_dense_funding,binance_funding_rest_derived_state,event timestamp plus forward-fill age required; signal must use only already published funding events,HOLD_SOURCE_PROOF,derived funding state needs event-time/ffill-age proof in reward loader,true,funding_rate_delta_state_24h
positioning,binance_metrics_positioning_ratio,account/top position ratio publication lag must be explicit,HOLD_SOURCE_PROOF,positioning ratio publication lag proof is missing,true,global_long_short_account_ratio_last
open_interest,binance_metrics_open_interest,metrics snapshot timestamp must be <= signal timestamp; no same-bar backfill,HOLD_SOURCE_PROOF,metrics snapshot/native interval timestamp proof is not attached to reward rows,true,open_interest_last
open_interest,binance_metrics_open_interest,metrics snapshot timestamp must be <= signal timestamp; no same-bar backfill,HOLD_SOURCE_PROOF,metrics snapshot/native interval timestamp proof is not attached to reward rows,true,open_interest_mean
open_interest,binance_metrics_open_interest,metrics snapshot timestamp must be <= signal timestamp; no same-bar backfill,HOLD_SOURCE_PROOF,metrics snapshot/native interval timestamp proof is not attached to reward rows,true,open_interest_value_change_24h
open_interest,binance_metrics_open_interest,metrics snapshot timestamp must be <= signal timestamp; no same-bar backfill,HOLD_SOURCE_PROOF,metrics snapshot/native interval timestamp proof is not attached to reward rows,true,open_interest_value_last
open_interest,binance_metrics_open_interest,metrics snapshot timestamp must be <= signal timestamp; no same-bar backfill,HOLD_SOURCE_PROOF,metrics snapshot/native interval timestamp proof is not attached to reward rows,true,open_interest_value_mean
regime_state,computed_state,state thresholds must be rolling-past or train-only frozen,HOLD_SOURCE_PROOF,state threshold lineage is not attached to accepted reward rows,true,stress_proxy_state
positioning,binance_metrics_positioning_ratio,account/top position ratio publication lag must be explicit,HOLD_SOURCE_PROOF,positioning ratio publication lag proof is missing,true,top_long_short_account_ratio_last
basis_premium,binance_vision_mark_index_premium,bar-close mark/index/premium available after bucket close; execute at timestamp + 1h or later,PASS_CONTROLLED_CONTRACT,final proof still requires official CHECKSUM audit for Vision fast path,true,mark_index_basis_bps
basis_premium,binance_vision_mark_index_premium,bar-close mark/index/premium available after bucket close; execute at timestamp + 1h or later,PASS_CONTROLLED_CONTRACT,final proof still requires official CHECKSUM audit for Vision fast path,true,premium_close_bps
liquidity,binance_vision_trade_bar,bar-close volume available after bucket close; execute at timestamp + 1h or later,PASS_CONTROLLED_CONTRACT,final proof still requires official CHECKSUM audit for Vision fast path,true,quote_volume_z_168h
taker_flow,bar_close_trade_flow,available after bar close; execute at timestamp + 1h or later,PASS_CONTROLLED_CONTRACT,,true,taker_buy_sell_volume_ratio_last
