candidate_id,cell,expression,blocked_fields,selected_for_replay,diagnostic_only
a7al2k_8566908147354507,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,336)),Rank(Delta(index_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_820565a34ebdab62,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,4)),Rank(Delta(mark_close,72)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_de5587efc438d6df,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,4)),ZScore(Delta(mark_close,72)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_8f72cfa01525b90d,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,504)),Rank(Mean(mark_close,12)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_f292b2580ce110a3,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,8)),ZScore(Delta(mark_close,24)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_80af3e68820c499c,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,336)),Rank(Mean(index_close,12)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_8b759d54f81e8ef3,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,96)),ZScore(Delta(mark_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_a7516a15ce9426b2,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,8)),Rank(Delta(mark_close,168)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_bc19b279763b7bd3,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,12)),ZScore(Delta(trade_close,720)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_f9dae4c1827c0906,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,8)),Rank(Delta(index_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_38b06e3de952c815,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,168)),Rank(Delta(trade_close,8)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_9220b43ce9792266,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,336)),ZScore(Delta(mark_close,504)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_dc65abbb752165a2,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,24)),Rank(Mean(index_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_c11dae05c2a7eb86,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,96)),Rank(Delta(index_close,72)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_91214351cced6818,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,4)),Rank(Delta(mark_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_0f63fd61590d2597,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,168)),Rank(Delta(mark_close,48)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_2c059626900976fa,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,4)),ZScore(Delta(trade_close,720)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_cecfe9f8db239732,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,72)),Rank(Mean(mark_close,8)))",mark_basis_bps_okx_minus_binance,False,True
