cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,regime_fold_target,expression,bucketed_expression,max_window,horizon_bucket
C0000,0,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,F7_trend_reversal,"RegimeMaskNonMay(F7_trend_reversal,Decay(ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_3,3)),ZScore(TSMean(ret_3,8)))),4)),4))","RegimeMaskNonMay(F7_trend_reversal,Decay(ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_3,H6)),ZScore(TSMean(ret_3,H12)))),H6)),H6))",8,H12
C0000,1,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,F7_trend_reversal,"RegimeMaskNonMay(F7_trend_reversal,Decay(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_3,20)),ZScore(TSMean(ret_6,3)))),6))),10))","RegimeMaskNonMay(F7_trend_reversal,Decay(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_3,H24)),ZScore(TSMean(ret_6,H6)))),H6))),H12))",20,H24
C0001,0,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,F7_trend_reversal,"TSMean(Clip(Clip(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Mul(ZScore(TSMean(ret_3,6)),Rank(TSMean(ret_3,8))),4))),-4.0,4.0),-3.0,3.0),8)","TSMean(Clip(Clip(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Mul(ZScore(TSMean(ret_3,H6)),Rank(TSMean(ret_3,H12))),H6))),-4.0,4.0),-3.0,3.0),H12)",8,H12
C0001,1,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,F7_trend_reversal,"TSMean(Clip(Clip(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Mul(ZScore(TSMean(ret_3,30)),Rank(TSMean(ret_6,36))),6)))),-4.0,4.0),-3.0,3.0),12)","TSMean(Clip(Clip(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Mul(ZScore(TSMean(ret_3,H48)),Rank(TSMean(ret_6,H48))),H6)))),-4.0,4.0),-3.0,3.0),H12)",36,H48
C0002,0,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,F6_cross_symbol_dispersion,"SafeDiv(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Mul(TSRank(ret_6,3),ZScore(TSMean(ret_6,6))),4)))),4),Clip(Abs(TSMean(ret_6,8)),0.05,4.0))","SafeDiv(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Mul(TSRank(ret_6,H6),ZScore(TSMean(ret_6,H6))),H6)))),H6),Clip(Abs(TSMean(ret_6,H12)),0.05,4.0))",8,H12
C0002,1,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,F6_cross_symbol_dispersion,"SafeDiv(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Mul(TSRank(ret_6,20),ZScore(TSMean(ret_12,3))),6))))),10),Clip(Abs(TSMean(ret_12,12)),0.05,4.0))","SafeDiv(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Mul(TSRank(ret_6,H24),ZScore(TSMean(ret_12,H6))),H6))))),H12),Clip(Abs(TSMean(ret_12,H12)),0.05,4.0))",20,H24
C0003,0,H13_symbol_tier_relative,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,Core4,F11_cross_symbol_crowding,"CrossSymbolZScore(TSMean(ResidualizeVsCore4(TSMean(Rank(TSMean(realized_vol_12,3)),4)),4))","CrossSymbolZScore(TSMean(ResidualizeVsCore4(TSMean(Rank(TSMean(realized_vol_12,H6)),H6)),H6))",4,H6
C0003,1,H13_symbol_tier_relative,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,Core4,F11_cross_symbol_crowding,"CrossSymbolZScore(TSMean(ResidualizeVsCore4(Rank(TSMean(Rank(TSMean(realized_vol_12,20)),6))),10))","CrossSymbolZScore(TSMean(ResidualizeVsCore4(Rank(TSMean(Rank(TSMean(realized_vol_12,H24)),H6))),H12))",20,H24
C0004,0,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,same_symbol_rank,none,F2_low_liquidity,"SafeDiv(TSMean(TSMean(Mul(TSRank(quote_asset_volume,24),ZScore(TSMean(quote_asset_volume,48))),4),4),Clip(Abs(TSMean(quote_asset_volume,8)),0.05,4.0))","SafeDiv(TSMean(TSMean(Mul(TSRank(quote_asset_volume,H24),ZScore(TSMean(quote_asset_volume,H48))),H6),H6),Clip(Abs(TSMean(quote_asset_volume,H12)),0.05,4.0))",48,H48
C0004,1,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,same_symbol_rank,none,F2_low_liquidity,"SafeDiv(TSMean(Rank(TSMean(Mul(TSRank(quote_asset_volume,96),ZScore(TSMean(number_of_trades,36))),6)),10),Clip(Abs(TSMean(number_of_trades,12)),0.05,4.0))","SafeDiv(TSMean(Rank(TSMean(Mul(TSRank(quote_asset_volume,HGT72_LE144),ZScore(TSMean(number_of_trades,H48))),H6)),H12),Clip(Abs(TSMean(number_of_trades,H12)),0.05,4.0))",96,HGT72_LE144
