level,family_id,root_family,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_route,secondary_route,primary_transform,secondary_transform,motif,expression,semantic_pair,generation_priority,candidate_role,modifier_guard_required,skeleton_key,production_key,blueprint_id,company_shard,a7ff38_role
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,level,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(mark_index_basis_bps))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_d9d4f69744bac825,prod_42cb8613501b9c91,a7ff33_7ac0de622987a879,shard_14,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,delta_1h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Delta(mark_index_basis_bps,1)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_f864cf0a8cee7a76,a7ff33_207ac2263701c19b,shard_15,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,mean_1h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Mean(mark_index_basis_bps,1)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_346b72eaadf10db3,a7ff33_5ca53b7fa1464df8,shard_16,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,zmean_1h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(ZScore(Mean(mark_index_basis_bps,1))))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_c80f62c274b367a9,prod_2e1b775c22c23152,a7ff33_9ef340236bdbd43f,shard_17,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,delta_2h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Delta(mark_index_basis_bps,2)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_0292ec2dcda1b2cb,a7ff33_fd0c86833ea16ec5,shard_00,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,mean_2h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Mean(mark_index_basis_bps,2)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_f01b04baa24dcf0b,a7ff33_8da8722b56dc5cb1,shard_01,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,zmean_2h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(ZScore(Mean(mark_index_basis_bps,2))))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_c80f62c274b367a9,prod_e2f6125c191f8bf4,a7ff33_48f53db0ac931eb8,shard_02,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,delta_4h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Delta(mark_index_basis_bps,4)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_9d65d3fba8233048,a7ff33_2b7fc962de462cf0,shard_03,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,mean_4h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Mean(mark_index_basis_bps,4)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_39b82a54e77c7abd,a7ff33_fbbd110011fbfbf7,shard_04,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,zmean_4h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(ZScore(Mean(mark_index_basis_bps,4))))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_c80f62c274b367a9,prod_e404efc99269c046,a7ff33_e23e7dcd18473402,shard_05,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,delta_8h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Delta(mark_index_basis_bps,8)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_3768be5535e2bc5b,a7ff33_4e1ec855289b6635,shard_06,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,mean_8h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Mean(mark_index_basis_bps,8)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_02b03b63b21666de,a7ff33_993298b808b2a135,shard_07,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,zmean_8h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(ZScore(Mean(mark_index_basis_bps,8))))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_c80f62c274b367a9,prod_cfc9bee75d25120b,a7ff33_330e80bed49759e4,shard_08,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,delta_12h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Delta(mark_index_basis_bps,12)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_135cb6c276cff952,a7ff33_3816626e6e5456dd,shard_09,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,mean_12h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Mean(mark_index_basis_bps,12)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_341ac25fe287e34c,a7ff33_a1f4a07a2acb206d,shard_10,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,zmean_12h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(ZScore(Mean(mark_index_basis_bps,12))))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_c80f62c274b367a9,prod_2068caf5d8e70b3f,a7ff33_b85b5d0ca50d8019,shard_11,primary_focus_funding_dense
L2_typed_two_field_interaction,D5_funding_dense_state,funding_like|basis_premium_like,funding_rate_state_last_ffill_8h,mark_index_basis_bps,funding_like,basis_premium_like,dense_materializer_target,dense_materializer_target,level,delta_24h,gated_sign,"Mul(funding_rate_state_last_ffill_8h,Sign(Delta(mark_index_basis_bps,24)))",funding_like|basis_premium_like,P1,ordinary_alpha_valid_family_diversification_probe,True,skel_a2f58ee62d9e7ad2,prod_eb1a714f1e7de15f,a7ff33_6fc8b3ada58c4b89,shard_12,primary_focus_funding_dense
