label,kind,policy_training_allowed
raw_validation_fail,selection_failure,True
raw_recent_fail,selection_failure,True
residual_funding_validation_fail,selection_failure,True
residual_funding_recent_fail,selection_failure,True
residual_core4_recent_fail,selection_failure,True
cost20_recent_fail,selection_failure,True
lag1_recent_fail,selection_failure,True
near_miss_label,policy_target_preferred,True
research_candidate_label,rare_policy_target,True
may_raw_severe_fail_stress_only,stress_label_only,False
may_residual_funding_negative_stress_only,stress_label_only,False
